大項目	中項目	費目
その他	事業経費	事業経費
その他	寄付金	夫婦生活費
その他	自治会費	夫婦生活費
その他	雑費	夫婦生活費
交通費	その他交通費	夫婦生活費
交通費	タクシー	夫婦生活費
交通費	バス	夫婦生活費
交通費	電車	夫婦生活費
交際費	お年玉	夫婦生活費
交際費	その他交際費	夫婦生活費
交際費	プレゼント代	夫婦生活費
交際費	交際費	夫婦生活費
交際費	冠婚葬祭	夫婦生活費
交際費	飲み会	夫婦生活費
住宅	ローン返済	住宅ローン返済
住宅	住宅	未分類
住宅	家賃・地代	家賃
住宅	清掃	住宅維持費
保険	その他保険	損害保険料
保険	生命保険	生命保険料
健康・医療	その他健康・医療	医療費
健康・医療	サプリメント	医療費
健康・医療	ボディケア	医療費
健康・医療	医療費	医療費
健康・医療	薬	医療費
収入	その他入金	その他収入
収入	ポイント利用	その他収入
収入	一時所得	その他収入
収入	事業・副業	事業収入
収入	割り勘	その他収入
収入	割引	その他収入
収入	子供給付金	その他収入
収入	祝い金・お年玉	その他収入
収入	給与	給与収入
収入	補助金	その他収入
収入	返金	その他収入
収入	配当所得	その他収入
教養・教育	その他教養・教育	夫婦生活費
教養・教育	学費	学費
教養・教育	書籍	夫婦生活費
教養・教育	絵本	子生活費（共通）
教養・教育	習いごと	学費
日用品	その他日用品	夫婦生活費
日用品	ドラッグストア	夫婦生活費
日用品	子育て用品	子生活費（共通）
日用品	日用品	夫婦生活費
未分類	未分類	未分類
水道・光熱費	ガス・灯油代	夫婦生活費
水道・光熱費	水道代	夫婦生活費
水道・光熱費	電気代	夫婦生活費
特別な支出	その他特別な支出	臨時費用
特別な支出	子育て用品	子生活費（共通）
特別な支出	家具・家電	臨時費用
特別な支出	資金移動	臨時費用
特別な支出	防災	臨時費用
現金・カード	ATM引き出し	現金支出（明細なし）
現金・カード	カード引き落とし	未分類
現金・カード	使途不明金	現金支出（明細なし）
現金・カード	電子マネー	未分類
税・社会保障	その他税・社会保障	税
税・社会保障	固定資産税	税
税・社会保障	所得税・住民税	税
自動車	ガソリン	夫婦生活費
自動車	駐車場	夫婦生活費
衣服・美容	その他衣服・美容	夫婦生活費
衣服・美容	クリーニング	夫婦生活費
衣服・美容	化粧品	夫婦生活費
衣服・美容	子ども衣服	子生活費（共通）
衣服・美容	美容院・理髪	夫婦生活費
衣服・美容	衣服	夫婦生活費
趣味・娯楽	その他趣味・娯楽	夫婦生活費
趣味・娯楽	アウトドア	夫婦生活費
趣味・娯楽	おもちゃ	子生活費（共通）
趣味・娯楽	スポーツ	夫婦生活費
趣味・娯楽	夫お小遣い	夫小遣い
趣味・娯楽	妻お小遣い	妻小遣い
趣味・娯楽	旅行	夫婦生活費
趣味・娯楽	映画・音楽・ゲーム	夫婦生活費
趣味・娯楽	本	夫婦生活費
通信費	その他通信費	夫婦生活費
通信費	インターネット	夫婦生活費
通信費	情報サービス	夫婦生活費
通信費	携帯電話	夫婦生活費
通信費	放送視聴料	夫婦生活費
食費	お酒	夫婦生活費
食費	その他食費	夫婦生活費
食費	カフェ	夫婦生活費
食費	外食	夫婦生活費
食費	食料品	夫婦生活費
食費	食費	夫婦生活費
