本人	年	月	勤務先	名目	総支給[円]	健康保険料[円]	厚生年金保険料[円]	雇用保険料[円]	所得税[円]	住民税[円]
夫	2021	1	勤務先A	給与	480000	25000	45000	3000	15000	20000
夫	2021	2	勤務先A	給与	480000	25000	45000	3000	15000	20000
夫	2021	3	勤務先A	給与	480000	25000	45000	3000	15000	20000
夫	2021	4	勤務先A	給与	480000	25000	45000	3000	15000	20000
夫	2021	5	勤務先A	給与	480000	25000	45000	3000	15000	20000
夫	2021	6	勤務先A	給与	480000	25000	45000	3000	15000	20000
夫	2021	6	勤務先A	賞与	900000	50000	90000	6000	60000	0
夫	2021	7	勤務先A	給与	480000	25000	45000	3000	15000	20000
夫	2021	8	勤務先A	給与	480000	25000	45000	3000	15000	20000
夫	2021	9	勤務先A	給与	480000	25000	45000	3000	15000	20000
夫	2021	10	勤務先A	給与	480000	25000	45000	3000	15000	20000
夫	2021	11	勤務先A	給与	480000	25000	45000	3000	15000	20000
夫	2021	12	勤務先A	給与	480000	25000	45000	3000	15000	20000
夫	2021	12	勤務先A	賞与	900000	50000	90000	6000	60000	0
夫	2022	1	勤務先A	給与	500000	25000	45000	3000	15000	20000
夫	2022	2	勤務先A	給与	500000	25000	45000	3000	15000	20000
夫	2022	3	勤務先A	給与	500000	25000	45000	3000	15000	20000
夫	2022	4	勤務先A	給与	500000	25000	45000	3000	15000	20000
夫	2022	5	勤務先A	給与	500000	25000	45000	3000	15000	20000
夫	2022	6	勤務先A	給与	500000	25000	45000	3000	15000	20000
夫	2022	6	勤務先A	賞与	1000000	50000	90000	6000	60000	0
夫	2022	7	勤務先A	給与	500000	25000	45000	3000	15000	20000
夫	2022	8	勤務先A	給与	500000	25000	45000	3000	15000	20000
夫	2022	9	勤務先A	給与	500000	25000	45000	3000	15000	20000
夫	2022	10	勤務先A	給与	500000	25000	45000	3000	15000	20000
夫	2022	11	勤務先A	給与	500000	25000	45000	3000	15000	20000
夫	2022	12	勤務先A	給与	500000	25000	45000	3000	15000	20000
夫	2022	12	勤務先A	賞与	1000000	50000	90000	6000	60000	0
夫	2023	1	勤務先A	給与	550000	25000	45000	3000	15000	20000
夫	2023	2	勤務先A	給与	550000	25000	45000	3000	15000	20000
夫	2023	3	勤務先A	給与	550000	25000	45000	3000	15000	20000
夫	2023	4	勤務先A	給与	550000	25000	45000	3000	15000	20000
夫	2023	5	勤務先A	給与	550000	25000	45000	3000	15000	20000
夫	2023	6	勤務先A	給与	550000	25000	45000	3000	15000	20000
夫	2023	6	勤務先A	賞与	1100000	50000	90000	6000	60000	0
夫	2023	7	勤務先A	給与	550000	25000	45000	3000	15000	20000
夫	2023	8	勤務先A	給与	550000	25000	45000	3000	15000	20000
夫	2023	9	勤務先A	給与	550000	25000	45000	3000	15000	20000
夫	2023	10	勤務先A	給与	550000	25000	45000	3000	15000	20000
夫	2023	11	勤務先A	給与	550000	25000	45000	3000	15000	20000
夫	2023	12	勤務先A	給与	550000	25000	45000	3000	15000	20000
夫	2023	12	勤務先A	賞与	1100000	50000	90000	6000	60000	0
