本人	西暦	月	和暦年月	標準報酬月額[円]	記録
夫	2022	1		500,000	架空の例
夫	2022	2		500,000	架空の例
夫	2022	3		500,000	架空の例
夫	2022	4		500,000	架空の例
夫	2022	5		500,000	架空の例
夫	2022	6		500,000	架空の例
夫	2022	7		500,000	架空の例
夫	2022	8		500,000	架空の例
夫	2022	9		500,000	架空の例
夫	2022	10		500,000	架空の例
夫	2022	11		500,000	架空の例
夫	2022	12		500,000	架空の例
夫	2023	1		500,000	架空の例
夫	2023	2		500,000	架空の例
夫	2023	3		500,000	架空の例
夫	2023	4		500,000	架空の例
夫	2023	5		500,000	架空の例
夫	2023	6		500,000	架空の例
夫	2023	7		500,000	架空の例
夫	2023	8		500,000	架空の例
夫	2023	9		500,000	架空の例
夫	2023	10		500,000	架空の例
夫	2023	11		500,000	架空の例
夫	2023	12		500,000	架空の例
