西暦	給与収入[円/年]	賞与収入[円/年]	賞与回数[回/年]	週所定労働時間[時間/週]	通常労働者週所定労働時間[時間/週]	特定適用事業所区分	育休月数[月]	保険料免除月[月]	事業収入[円/年]	事業必要経費[円/年]	少額減価償却資産取得価額[円/年]	青色申告区分	業務雑収入[円/年]
2020	4,281,000	835,000	2	40	40	該当	0		0	0	0	白色申告	0
2023	4,281,000	835,000	2	40	40	該当	2	8,9	0	0	0	白色申告	0
2024	4,281,000	835,000	2	40	40	該当	0		0	0	0	白色申告	0
2025	4,802,000	936,000	2	40	40	該当	0		0	0	0	白色申告	0
2030	5,268,000	1,027,000	2	40	40	該当	0		0	0	0	白色申告	0
2035	5,548,000	1,082,000	2	40	40	該当	0		0	0	0	白色申告	0
2040	5,929,000	1,156,000	2	40	40	該当	0		0	0	0	白色申告	0
2045	6,147,000	1,199,000	2	40	40	該当	0		0	0	0	白色申告	0
2050	6,147,000	1,199,000	2	40	40	該当	0		0	0	0	白色申告	0
2055	0	0	0	0	40	該当	0		0	0	0	白色申告	0
