西暦	積立額[円/月]	貯蓄維持目標[円]	NISA生涯投資枠[円]	先に売る口座	出典
2020	0	2,500,000	0	課税	**反実仮想の行。**運用益への課税の効きを測るためだけに枠を実質無制限にしてある。制度ではない
2024	100,000	2,500,000	999,999,999,999	課税	**反実仮想の行。**運用益への課税の効きを測るためだけに枠を実質無制限にしてある。制度ではない
2031	100,000	2,500,000	999,999,999,999	課税	**反実仮想の行。**運用益への課税の効きを測るためだけに枠を実質無制限にしてある。制度ではない
2032	100,000	2,500,000	999,999,999,999	課税	**反実仮想の行。**運用益への課税の効きを測るためだけに枠を実質無制限にしてある。制度ではない
2033	100,000	2,500,000	999,999,999,999	課税	**反実仮想の行。**運用益への課税の効きを測るためだけに枠を実質無制限にしてある。制度ではない
2034	100,000	2,500,000	999,999,999,999	課税	**反実仮想の行。**運用益への課税の効きを測るためだけに枠を実質無制限にしてある。制度ではない
2035	100,000	2,500,000	999,999,999,999	課税	**反実仮想の行。**運用益への課税の効きを測るためだけに枠を実質無制限にしてある。制度ではない
2036	100,000	2,500,000	999,999,999,999	課税	**反実仮想の行。**運用益への課税の効きを測るためだけに枠を実質無制限にしてある。制度ではない
2037	100,000	2,500,000	999,999,999,999	課税	**反実仮想の行。**運用益への課税の効きを測るためだけに枠を実質無制限にしてある。制度ではない
2038	100,000	2,500,000	999,999,999,999	課税	**反実仮想の行。**運用益への課税の効きを測るためだけに枠を実質無制限にしてある。制度ではない
2039	100,000	2,500,000	999,999,999,999	課税	**反実仮想の行。**運用益への課税の効きを測るためだけに枠を実質無制限にしてある。制度ではない
2040	100,000	2,500,000	999,999,999,999	課税	**反実仮想の行。**運用益への課税の効きを測るためだけに枠を実質無制限にしてある。制度ではない
2041	100,000	2,500,000	999,999,999,999	課税	**反実仮想の行。**運用益への課税の効きを測るためだけに枠を実質無制限にしてある。制度ではない
2042	100,000	2,500,000	999,999,999,999	課税	**反実仮想の行。**運用益への課税の効きを測るためだけに枠を実質無制限にしてある。制度ではない
2043	100,000	2,500,000	999,999,999,999	課税	**反実仮想の行。**運用益への課税の効きを測るためだけに枠を実質無制限にしてある。制度ではない
2044	100,000	2,500,000	999,999,999,999	課税	**反実仮想の行。**運用益への課税の効きを測るためだけに枠を実質無制限にしてある。制度ではない
2045	100,000	2,500,000	999,999,999,999	課税	**反実仮想の行。**運用益への課税の効きを測るためだけに枠を実質無制限にしてある。制度ではない
2046	100,000	2,500,000	999,999,999,999	課税	**反実仮想の行。**運用益への課税の効きを測るためだけに枠を実質無制限にしてある。制度ではない
2047	100,000	2,500,000	999,999,999,999	課税	**反実仮想の行。**運用益への課税の効きを測るためだけに枠を実質無制限にしてある。制度ではない
2048	100,000	2,500,000	999,999,999,999	課税	**反実仮想の行。**運用益への課税の効きを測るためだけに枠を実質無制限にしてある。制度ではない
2049	100,000	2,500,000	999,999,999,999	課税	**反実仮想の行。**運用益への課税の効きを測るためだけに枠を実質無制限にしてある。制度ではない
2050	100,000	2,500,000	999,999,999,999	課税	**反実仮想の行。**運用益への課税の効きを測るためだけに枠を実質無制限にしてある。制度ではない
2051	100,000	2,500,000	999,999,999,999	課税	**反実仮想の行。**運用益への課税の効きを測るためだけに枠を実質無制限にしてある。制度ではない
