下限年齢	1人当たり医療費[円/年]	1人当たり自己負担額[円/年]	出典
0	282,000	46,000	厚生労働省「年齢階級別１人当たり医療費（令和５年度、医療保険制度分）」および「同 自己負担額及び保険料の比較」の 0～4。医療費は 1 ページ目、自己負担額は 5 ページ目の下向きのバー（自己負担＋保険料）から、この階級の保険料が 0 であることを使って組み立てた
5	162,000	36,000	厚生労働省「年齢階級別１人当たり医療費（令和５年度、医療保険制度分）」および「同 自己負担額及び保険料の比較」の 5～9。医療費は 1 ページ目、自己負担額は 5 ページ目の下向きのバー（自己負担＋保険料）から、この階級の保険料が 0 であることを使って組み立てた
10	136,000	32,000	厚生労働省「年齢階級別１人当たり医療費（令和５年度、医療保険制度分）」および「同 自己負担額及び保険料の比較」の 10～14。医療費は 1 ページ目、自己負担額は 5 ページ目の下向きのバー（自己負担＋保険料）から、この階級の保険料が 0 であることを使って組み立てた
15	115,000	26,000	厚生労働省「年齢階級別１人当たり医療費（令和５年度、医療保険制度分）」および「同 自己負担額及び保険料の比較」の 15～19。医療費は 1 ページ目、自己負担額は 5 ページ目の 自己負担額 の行
20	99,000	22,000	厚生労働省「年齢階級別１人当たり医療費（令和５年度、医療保険制度分）」および「同 自己負担額及び保険料の比較」の 20～24。医療費は 1 ページ目、自己負担額は 5 ページ目の 自己負担額 の行
25	121,000	27,000	厚生労働省「年齢階級別１人当たり医療費（令和５年度、医療保険制度分）」および「同 自己負担額及び保険料の比較」の 25～29。医療費は 1 ページ目、自己負担額は 5 ページ目の 自己負担額 の行
30	147,000	32,000	厚生労働省「年齢階級別１人当たり医療費（令和５年度、医療保険制度分）」および「同 自己負担額及び保険料の比較」の 30～34。医療費は 1 ページ目、自己負担額は 5 ページ目の 自己負担額 の行
35	161,000	35,000	厚生労働省「年齢階級別１人当たり医療費（令和５年度、医療保険制度分）」および「同 自己負担額及び保険料の比較」の 35～39。医療費は 1 ページ目、自己負担額は 5 ページ目の 自己負担額 の行
40	174,000	38,000	厚生労働省「年齢階級別１人当たり医療費（令和５年度、医療保険制度分）」および「同 自己負担額及び保険料の比較」の 40～44。医療費は 1 ページ目、自己負担額は 5 ページ目の 自己負担額 の行
45	202,000	44,000	厚生労働省「年齢階級別１人当たり医療費（令和５年度、医療保険制度分）」および「同 自己負担額及び保険料の比較」の 45～49。医療費は 1 ページ目、自己負担額は 5 ページ目の 自己負担額 の行
50	249,000	53,000	厚生労働省「年齢階級別１人当たり医療費（令和５年度、医療保険制度分）」および「同 自己負担額及び保険料の比較」の 50～54。医療費は 1 ページ目、自己負担額は 5 ページ目の 自己負担額 の行
55	313,000	65,000	厚生労働省「年齢階級別１人当たり医療費（令和５年度、医療保険制度分）」および「同 自己負担額及び保険料の比較」の 55～59。医療費は 1 ページ目、自己負担額は 5 ページ目の 自己負担額 の行
60	397,000	79,000	厚生労働省「年齢階級別１人当たり医療費（令和５年度、医療保険制度分）」および「同 自己負担額及び保険料の比較」の 60～64。医療費は 1 ページ目、自己負担額は 5 ページ目の 自己負担額 の行
65	495,000	90,000	厚生労働省「年齢階級別１人当たり医療費（令和５年度、医療保険制度分）」および「同 自己負担額及び保険料の比較」の 65～69。医療費は 1 ページ目、自己負担額は 5 ページ目の 自己負担額 の行
70	630,000	73,000	厚生労働省「年齢階級別１人当たり医療費（令和５年度、医療保険制度分）」および「同 自己負担額及び保険料の比較」の 70～74。医療費は 1 ページ目、自己負担額は 5 ページ目の 自己負担額 の行
75	781,000	71,000	厚生労働省「年齢階級別１人当たり医療費（令和５年度、医療保険制度分）」および「同 自己負担額及び保険料の比較」の 75～79。医療費は 1 ページ目、自己負担額は 5 ページ目の 自己負担額 の行
80	937,000	80,000	厚生労働省「年齢階級別１人当たり医療費（令和５年度、医療保険制度分）」および「同 自己負担額及び保険料の比較」の 80～84。医療費は 1 ページ目、自己負担額は 5 ページ目の 自己負担額 の行
85	1,087,000	87,000	厚生労働省「年齢階級別１人当たり医療費（令和５年度、医療保険制度分）」および「同 自己負担額及び保険料の比較」の 85～89。医療費は 1 ページ目、自己負担額は 5 ページ目の 自己負担額 の行
90	1,202,000	90,000	厚生労働省「年齢階級別１人当たり医療費（令和５年度、医療保険制度分）」および「同 自己負担額及び保険料の比較」の 90～94。医療費は 1 ページ目、自己負担額は 5 ページ目の 自己負担額 の行
95	1,278,000	90,000	厚生労働省「年齢階級別１人当たり医療費（令和５年度、医療保険制度分）」および「同 自己負担額及び保険料の比較」の 95～99。医療費は 1 ページ目、自己負担額は 5 ページ目の 自己負担額 の行
100	1,242,000	82,000	厚生労働省「年齢階級別１人当たり医療費（令和５年度、医療保険制度分）」および「同 自己負担額及び保険料の比較」の 100～。医療費は 1 ページ目、自己負担額は 5 ページ目の 自己負担額 の行
