適用開始年	適用終了年	支給率	支給上限額[円/月]	出典
不明	2022	67%	301902	令和3年8月1日から（LL030728保03）。詳細と原文の引用は README.md「育児休業給付の支給限度額」。原本は testdata/law/ikuji/
不明	2022	50%	225300	令和3年8月1日から（LL030728保03）。詳細と原文の引用は README.md「育児休業給付の支給限度額」。原本は testdata/law/ikuji/
2023	2023	67%	305319	令和4年8月1日から（LL050726保02 の変更前の額）。同上。原本は testdata/law/ikuji/
2023	2023	50%	227850	令和4年8月1日から（LL050726保02 の変更前の額）。同上。原本は testdata/law/ikuji/
2024	2024	67%	310143	令和5年8月1日から（LL050726保02）。同上。原本は testdata/law/ikuji/
2024	2024	50%	231450	令和5年8月1日から（LL050726保02）。同上。原本は testdata/law/ikuji/
2025	2025	67%	315369	令和6年8月1日から（LL060730保02）。同上。原本は testdata/law/ikuji/
2025	2025	50%	235350	令和6年8月1日から（LL060730保02）。同上。原本は testdata/law/ikuji/
2026	2026	67%	323811	令和7年8月1日から（LL080731保02 の変更前の額）。同上。原本は testdata/law/ikuji/
2026	2026	50%	241650	令和7年8月1日から（LL080731保02 の変更前の額）。同上。原本は testdata/law/ikuji/
2027	無期限	67%	332454	令和8年8月1日から（LL080731保02）。同上。原本は testdata/law/ikuji/
2027	無期限	50%	248100	令和8年8月1日から（LL080731保02）。同上。原本は testdata/law/ikuji/
