経過年数	経年減点補正率	適用開始年	適用終了年	出典
1	80.00%	不明	無期限	固定資産評価基準 別表第13「非木造家屋経年減点補正率基準表」２ 住宅、アパート用建物 の 鉄骨造（骨格材の肉厚が３㎜を超え４㎜以下のもの）の列。詳細と原文の引用は README.md「経年減点補正率」 https://www.soumu.go.jp/main_sosiki/jichi_zeisei/czaisei/czaisei_seido/ichiran13/pdf/kaoku.pdf。原本は testdata/law/soumu/hyouka-kijun-bettou13-kaoku.md
2	75.00%	不明	無期限	固定資産評価基準 別表第13「非木造家屋経年減点補正率基準表」２ 住宅、アパート用建物 の 鉄骨造（骨格材の肉厚が３㎜を超え４㎜以下のもの）の列。詳細と原文の引用は README.md「経年減点補正率」 https://www.soumu.go.jp/main_sosiki/jichi_zeisei/czaisei/czaisei_seido/ichiran13/pdf/kaoku.pdf。原本は testdata/law/soumu/hyouka-kijun-bettou13-kaoku.md
3	70.00%	不明	無期限	固定資産評価基準 別表第13「非木造家屋経年減点補正率基準表」２ 住宅、アパート用建物 の 鉄骨造（骨格材の肉厚が３㎜を超え４㎜以下のもの）の列。詳細と原文の引用は README.md「経年減点補正率」 https://www.soumu.go.jp/main_sosiki/jichi_zeisei/czaisei/czaisei_seido/ichiran13/pdf/kaoku.pdf。原本は testdata/law/soumu/hyouka-kijun-bettou13-kaoku.md
4	68.15%	不明	無期限	固定資産評価基準 別表第13「非木造家屋経年減点補正率基準表」２ 住宅、アパート用建物 の 鉄骨造（骨格材の肉厚が３㎜を超え４㎜以下のもの）の列。詳細と原文の引用は README.md「経年減点補正率」 https://www.soumu.go.jp/main_sosiki/jichi_zeisei/czaisei/czaisei_seido/ichiran13/pdf/kaoku.pdf。原本は testdata/law/soumu/hyouka-kijun-bettou13-kaoku.md
5	66.30%	不明	無期限	固定資産評価基準 別表第13「非木造家屋経年減点補正率基準表」２ 住宅、アパート用建物 の 鉄骨造（骨格材の肉厚が３㎜を超え４㎜以下のもの）の列。詳細と原文の引用は README.md「経年減点補正率」 https://www.soumu.go.jp/main_sosiki/jichi_zeisei/czaisei/czaisei_seido/ichiran13/pdf/kaoku.pdf。原本は testdata/law/soumu/hyouka-kijun-bettou13-kaoku.md
6	64.44%	不明	無期限	固定資産評価基準 別表第13「非木造家屋経年減点補正率基準表」２ 住宅、アパート用建物 の 鉄骨造（骨格材の肉厚が３㎜を超え４㎜以下のもの）の列。詳細と原文の引用は README.md「経年減点補正率」 https://www.soumu.go.jp/main_sosiki/jichi_zeisei/czaisei/czaisei_seido/ichiran13/pdf/kaoku.pdf。原本は testdata/law/soumu/hyouka-kijun-bettou13-kaoku.md
7	62.59%	不明	無期限	固定資産評価基準 別表第13「非木造家屋経年減点補正率基準表」２ 住宅、アパート用建物 の 鉄骨造（骨格材の肉厚が３㎜を超え４㎜以下のもの）の列。詳細と原文の引用は README.md「経年減点補正率」 https://www.soumu.go.jp/main_sosiki/jichi_zeisei/czaisei/czaisei_seido/ichiran13/pdf/kaoku.pdf。原本は testdata/law/soumu/hyouka-kijun-bettou13-kaoku.md
8	60.74%	不明	無期限	固定資産評価基準 別表第13「非木造家屋経年減点補正率基準表」２ 住宅、アパート用建物 の 鉄骨造（骨格材の肉厚が３㎜を超え４㎜以下のもの）の列。詳細と原文の引用は README.md「経年減点補正率」 https://www.soumu.go.jp/main_sosiki/jichi_zeisei/czaisei/czaisei_seido/ichiran13/pdf/kaoku.pdf。原本は testdata/law/soumu/hyouka-kijun-bettou13-kaoku.md
9	58.89%	不明	無期限	固定資産評価基準 別表第13「非木造家屋経年減点補正率基準表」２ 住宅、アパート用建物 の 鉄骨造（骨格材の肉厚が３㎜を超え４㎜以下のもの）の列。詳細と原文の引用は README.md「経年減点補正率」 https://www.soumu.go.jp/main_sosiki/jichi_zeisei/czaisei/czaisei_seido/ichiran13/pdf/kaoku.pdf。原本は testdata/law/soumu/hyouka-kijun-bettou13-kaoku.md
10	57.04%	不明	無期限	固定資産評価基準 別表第13「非木造家屋経年減点補正率基準表」２ 住宅、アパート用建物 の 鉄骨造（骨格材の肉厚が３㎜を超え４㎜以下のもの）の列。詳細と原文の引用は README.md「経年減点補正率」 https://www.soumu.go.jp/main_sosiki/jichi_zeisei/czaisei/czaisei_seido/ichiran13/pdf/kaoku.pdf。原本は testdata/law/soumu/hyouka-kijun-bettou13-kaoku.md
