適用開始年	健康保険料率	介護保険料率	適用終了年	出典
2016	4.980%	0.790%	2016	協会けんぽ東京支部。都道府県単位保険料率 9.96%、介護保険料率 1.58%（全国一律）の折半額。原本は testdata/law/kyokaikenpo/h28-ryoritsu.md。**改定は 3 月分（4 月納付分）から**なので、暦年の 1・2 月は前年度の料率である
2017	4.955%	0.825%	2017	協会けんぽ東京支部。都道府県単位保険料率 9.91%、介護保険料率 1.65%（全国一律）の折半額。原本は testdata/law/kyokaikenpo/h29-ryoritsu.md
2018	4.950%	0.785%	2018	協会けんぽ東京支部。都道府県単位保険料率 9.90%、介護保険料率 1.57%（全国一律）の折半額。原本は testdata/law/kyokaikenpo/h30-ryoritsu.md
2019	4.950%	0.865%	2019	協会けんぽ東京支部。都道府県単位保険料率 9.90%、介護保険料率 1.73%（全国一律）の折半額。原本は testdata/law/kyokaikenpo/r01-ryoritsu.md
2020	4.935%	0.895%	2020	協会けんぽ東京支部。都道府県単位保険料率 9.87%、介護保険料率 1.79%（全国一律）の折半額。原本は testdata/law/kyokaikenpo/r02-ryoritsu.md
2021	4.920%	0.900%	2021	協会けんぽ東京支部。都道府県単位保険料率 9.84%、介護保険料率 1.80%（全国一律）の折半額。原本は testdata/law/kyokaikenpo/r03-ryoritsu.md
2022	4.905%	0.820%	2022	協会けんぽ東京支部。都道府県単位保険料率 9.81%、介護保険料率 1.64%（全国一律）の折半額。原本は testdata/law/kyokaikenpo/r04-ryoritsu.md
2023	5.000%	0.910%	2023	協会けんぽ東京支部。都道府県単位保険料率 10.00%、介護保険料率 1.82%（全国一律）の折半額。原本は testdata/law/kyokaikenpo/r05-ryoritsu.md
2024	4.990%	0.800%	2024	協会けんぽ東京支部。都道府県単位保険料率 9.98%、介護保険料率 1.60%（全国一律）の折半額。原本は testdata/law/kyokaikenpo/r06-ryoritsu.md
2025	4.955%	0.795%	2025	協会けんぽ東京支部。都道府県単位保険料率 9.91%、介護保険料率 1.59%（全国一律）の折半額。原本は testdata/law/kyokaikenpo/r07-ryoritsu.md
2026	4.925%	0.810%	無期限	協会けんぽ東京支部。都道府県単位保険料率 9.85%、介護保険料率 1.62%（全国一律）の折半額。原本は testdata/law/kyokaikenpo/r08-ryoritsu.md・r8-tokyo-hokenryogaku.md。**子ども・子育て支援金率 0.23% は入れていない**
