表の年度	適用開始年	適用終了年	再評価率	生年度の区分	出典
2025	2011	2011	1.044	昭和31年度以後生まれ	https://www.nenkin.go.jp/service/jukyu/seido/kyotsu/nenkingaku/20150401-01.files/7_kounen.pdf。原本は testdata/law/pension/saihyoka-ritsu-7.md・saihyoka-ritsu-8.md
2025	2012	2012	1.047	昭和31年度以後生まれ	https://www.nenkin.go.jp/service/jukyu/seido/kyotsu/nenkingaku/20150401-01.files/7_kounen.pdf。原本は testdata/law/pension/saihyoka-ritsu-7.md・saihyoka-ritsu-8.md
2025	2013	2013	1.049	昭和31年度以後生まれ	https://www.nenkin.go.jp/service/jukyu/seido/kyotsu/nenkingaku/20150401-01.files/7_kounen.pdf。原本は testdata/law/pension/saihyoka-ritsu-7.md・saihyoka-ritsu-8.md
2025	2014	2014	1.018	昭和31年度以後生まれ	https://www.nenkin.go.jp/service/jukyu/seido/kyotsu/nenkingaku/20150401-01.files/7_kounen.pdf。原本は testdata/law/pension/saihyoka-ritsu-7.md・saihyoka-ritsu-8.md
2025	2015	2015	1.013	昭和31年度以後生まれ	https://www.nenkin.go.jp/service/jukyu/seido/kyotsu/nenkingaku/20150401-01.files/7_kounen.pdf。原本は testdata/law/pension/saihyoka-ritsu-7.md・saihyoka-ritsu-8.md
2025	2016	2016	1.016	昭和31年度以後生まれ	https://www.nenkin.go.jp/service/jukyu/seido/kyotsu/nenkingaku/20150401-01.files/7_kounen.pdf。原本は testdata/law/pension/saihyoka-ritsu-7.md・saihyoka-ritsu-8.md
2025	2017	2017	1.012	昭和31年度以後生まれ	https://www.nenkin.go.jp/service/jukyu/seido/kyotsu/nenkingaku/20150401-01.files/7_kounen.pdf。原本は testdata/law/pension/saihyoka-ritsu-7.md・saihyoka-ritsu-8.md
2025	2018	2018	1.003	昭和31年度以後生まれ	https://www.nenkin.go.jp/service/jukyu/seido/kyotsu/nenkingaku/20150401-01.files/7_kounen.pdf。原本は testdata/law/pension/saihyoka-ritsu-7.md・saihyoka-ritsu-8.md
2025	2019	2019	1.000	昭和31年度以後生まれ	https://www.nenkin.go.jp/service/jukyu/seido/kyotsu/nenkingaku/20150401-01.files/7_kounen.pdf。原本は testdata/law/pension/saihyoka-ritsu-7.md・saihyoka-ritsu-8.md
2025	2020	2020	0.997	昭和31年度以後生まれ	https://www.nenkin.go.jp/service/jukyu/seido/kyotsu/nenkingaku/20150401-01.files/7_kounen.pdf。原本は testdata/law/pension/saihyoka-ritsu-7.md・saihyoka-ritsu-8.md
2025	2021	2021	1.000	昭和31年度以後生まれ	https://www.nenkin.go.jp/service/jukyu/seido/kyotsu/nenkingaku/20150401-01.files/7_kounen.pdf。原本は testdata/law/pension/saihyoka-ritsu-7.md・saihyoka-ritsu-8.md
2025	2022	2022	0.978	昭和31年度以後生まれ	https://www.nenkin.go.jp/service/jukyu/seido/kyotsu/nenkingaku/20150401-01.files/7_kounen.pdf。原本は testdata/law/pension/saihyoka-ritsu-7.md・saihyoka-ritsu-8.md
2025	2023	2023	0.957	昭和31年度以後生まれ	https://www.nenkin.go.jp/service/jukyu/seido/kyotsu/nenkingaku/20150401-01.files/7_kounen.pdf。原本は testdata/law/pension/saihyoka-ritsu-7.md・saihyoka-ritsu-8.md
2025	2024	2024	0.932	昭和31年度以後生まれ	https://www.nenkin.go.jp/service/jukyu/seido/kyotsu/nenkingaku/20150401-01.files/7_kounen.pdf。原本は testdata/law/pension/saihyoka-ritsu-7.md・saihyoka-ritsu-8.md
2025	2025	2025	0.922	昭和31年度以後生まれ	https://www.nenkin.go.jp/service/jukyu/seido/kyotsu/nenkingaku/20150401-01.files/7_kounen.pdf。原本は testdata/law/pension/saihyoka-ritsu-7.md・saihyoka-ritsu-8.md
2026	2011	2011	1.065	昭和31年度以後生まれ	https://www.nenkin.go.jp/service/jukyu/seido/kyotsu/nenkingaku/20150401-01.files/8_kounen.pdf。原本は testdata/law/pension/saihyoka-ritsu-7.md・saihyoka-ritsu-8.md
2026	2012	2012	1.068	昭和31年度以後生まれ	https://www.nenkin.go.jp/service/jukyu/seido/kyotsu/nenkingaku/20150401-01.files/8_kounen.pdf。原本は testdata/law/pension/saihyoka-ritsu-7.md・saihyoka-ritsu-8.md
2026	2013	2013	1.070	昭和31年度以後生まれ	https://www.nenkin.go.jp/service/jukyu/seido/kyotsu/nenkingaku/20150401-01.files/8_kounen.pdf。原本は testdata/law/pension/saihyoka-ritsu-7.md・saihyoka-ritsu-8.md
