等級	報酬月額下限[円]	標準報酬月額[円]	適用開始年	適用終了年	出典
1	0	58000	2016	無期限	健康保険法（大正十一年法律第七十号）第四十条第一項の標準報酬月額等級表。協会けんぽ東京支部の保険料額表に同じ等級が載る。原本は testdata/law/kyokaikenpo/r8-tokyo-hokenryogaku.md
2	63000	68000	2016	無期限	健康保険法（大正十一年法律第七十号）第四十条第一項の標準報酬月額等級表。協会けんぽ東京支部の保険料額表に同じ等級が載る。原本は testdata/law/kyokaikenpo/r8-tokyo-hokenryogaku.md
3	73000	78000	2016	無期限	健康保険法（大正十一年法律第七十号）第四十条第一項の標準報酬月額等級表。協会けんぽ東京支部の保険料額表に同じ等級が載る。原本は testdata/law/kyokaikenpo/r8-tokyo-hokenryogaku.md
4	83000	88000	2016	無期限	健康保険法（大正十一年法律第七十号）第四十条第一項の標準報酬月額等級表。協会けんぽ東京支部の保険料額表に同じ等級が載る。原本は testdata/law/kyokaikenpo/r8-tokyo-hokenryogaku.md
5	93000	98000	2016	無期限	健康保険法（大正十一年法律第七十号）第四十条第一項の標準報酬月額等級表。協会けんぽ東京支部の保険料額表に同じ等級が載る。原本は testdata/law/kyokaikenpo/r8-tokyo-hokenryogaku.md
6	101000	104000	2016	無期限	健康保険法（大正十一年法律第七十号）第四十条第一項の標準報酬月額等級表。協会けんぽ東京支部の保険料額表に同じ等級が載る。原本は testdata/law/kyokaikenpo/r8-tokyo-hokenryogaku.md
7	107000	110000	2016	無期限	健康保険法（大正十一年法律第七十号）第四十条第一項の標準報酬月額等級表。協会けんぽ東京支部の保険料額表に同じ等級が載る。原本は testdata/law/kyokaikenpo/r8-tokyo-hokenryogaku.md
8	114000	118000	2016	無期限	健康保険法（大正十一年法律第七十号）第四十条第一項の標準報酬月額等級表。協会けんぽ東京支部の保険料額表に同じ等級が載る。原本は testdata/law/kyokaikenpo/r8-tokyo-hokenryogaku.md
9	122000	126000	2016	無期限	健康保険法（大正十一年法律第七十号）第四十条第一項の標準報酬月額等級表。協会けんぽ東京支部の保険料額表に同じ等級が載る。原本は testdata/law/kyokaikenpo/r8-tokyo-hokenryogaku.md
10	130000	134000	2016	無期限	健康保険法（大正十一年法律第七十号）第四十条第一項の標準報酬月額等級表。協会けんぽ東京支部の保険料額表に同じ等級が載る。原本は testdata/law/kyokaikenpo/r8-tokyo-hokenryogaku.md
11	138000	142000	2016	無期限	健康保険法（大正十一年法律第七十号）第四十条第一項の標準報酬月額等級表。協会けんぽ東京支部の保険料額表に同じ等級が載る。原本は testdata/law/kyokaikenpo/r8-tokyo-hokenryogaku.md
12	146000	150000	2016	無期限	健康保険法（大正十一年法律第七十号）第四十条第一項の標準報酬月額等級表。協会けんぽ東京支部の保険料額表に同じ等級が載る。原本は testdata/law/kyokaikenpo/r8-tokyo-hokenryogaku.md
13	155000	160000	2016	無期限	健康保険法（大正十一年法律第七十号）第四十条第一項の標準報酬月額等級表。協会けんぽ東京支部の保険料額表に同じ等級が載る。原本は testdata/law/kyokaikenpo/r8-tokyo-hokenryogaku.md
14	165000	170000	2016	無期限	健康保険法（大正十一年法律第七十号）第四十条第一項の標準報酬月額等級表。協会けんぽ東京支部の保険料額表に同じ等級が載る。原本は testdata/law/kyokaikenpo/r8-tokyo-hokenryogaku.md
15	175000	180000	2016	無期限	健康保険法（大正十一年法律第七十号）第四十条第一項の標準報酬月額等級表。協会けんぽ東京支部の保険料額表に同じ等級が載る。原本は testdata/law/kyokaikenpo/r8-tokyo-hokenryogaku.md
16	185000	190000	2016	無期限	健康保険法（大正十一年法律第七十号）第四十条第一項の標準報酬月額等級表。協会けんぽ東京支部の保険料額表に同じ等級が載る。原本は testdata/law/kyokaikenpo/r8-tokyo-hokenryogaku.md
17	195000	200000	2016	無期限	健康保険法（大正十一年法律第七十号）第四十条第一項の標準報酬月額等級表。協会けんぽ東京支部の保険料額表に同じ等級が載る。原本は testdata/law/kyokaikenpo/r8-tokyo-hokenryogaku.md
18	210000	220000	2016	無期限	健康保険法（大正十一年法律第七十号）第四十条第一項の標準報酬月額等級表。協会けんぽ東京支部の保険料額表に同じ等級が載る。原本は testdata/law/kyokaikenpo/r8-tokyo-hokenryogaku.md
19	230000	240000	2016	無期限	健康保険法（大正十一年法律第七十号）第四十条第一項の標準報酬月額等級表。協会けんぽ東京支部の保険料額表に同じ等級が載る。原本は testdata/law/kyokaikenpo/r8-tokyo-hokenryogaku.md
20	250000	260000	2016	無期限	健康保険法（大正十一年法律第七十号）第四十条第一項の標準報酬月額等級表。協会けんぽ東京支部の保険料額表に同じ等級が載る。原本は testdata/law/kyokaikenpo/r8-tokyo-hokenryogaku.md
21	270000	280000	2016	無期限	健康保険法（大正十一年法律第七十号）第四十条第一項の標準報酬月額等級表。協会けんぽ東京支部の保険料額表に同じ等級が載る。原本は testdata/law/kyokaikenpo/r8-tokyo-hokenryogaku.md
22	290000	300000	2016	無期限	健康保険法（大正十一年法律第七十号）第四十条第一項の標準報酬月額等級表。協会けんぽ東京支部の保険料額表に同じ等級が載る。原本は testdata/law/kyokaikenpo/r8-tokyo-hokenryogaku.md
