等級	報酬月額下限[円]	標準報酬月額[円]	適用開始年	適用終了年	出典
1	0	88000	2020	無期限	https://www.nenkin.go.jp/service/kounen/hokenryo/ryogaku/ryogakuhyo/20200825.html。原本は testdata/law/pension/standard-remuneration-history.md
2	93000	98000	2020	無期限	https://www.nenkin.go.jp/service/kounen/hokenryo/ryogaku/ryogakuhyo/20200825.html。原本は testdata/law/pension/standard-remuneration-history.md
3	101000	104000	2020	無期限	https://www.nenkin.go.jp/service/kounen/hokenryo/ryogaku/ryogakuhyo/20200825.html。原本は testdata/law/pension/standard-remuneration-history.md
4	107000	110000	2020	無期限	https://www.nenkin.go.jp/service/kounen/hokenryo/ryogaku/ryogakuhyo/20200825.html。原本は testdata/law/pension/standard-remuneration-history.md
5	114000	118000	2020	無期限	https://www.nenkin.go.jp/service/kounen/hokenryo/ryogaku/ryogakuhyo/20200825.html。原本は testdata/law/pension/standard-remuneration-history.md
6	122000	126000	2020	無期限	https://www.nenkin.go.jp/service/kounen/hokenryo/ryogaku/ryogakuhyo/20200825.html。原本は testdata/law/pension/standard-remuneration-history.md
7	130000	134000	2020	無期限	https://www.nenkin.go.jp/service/kounen/hokenryo/ryogaku/ryogakuhyo/20200825.html。原本は testdata/law/pension/standard-remuneration-history.md
8	138000	142000	2020	無期限	https://www.nenkin.go.jp/service/kounen/hokenryo/ryogaku/ryogakuhyo/20200825.html。原本は testdata/law/pension/standard-remuneration-history.md
9	146000	150000	2020	無期限	https://www.nenkin.go.jp/service/kounen/hokenryo/ryogaku/ryogakuhyo/20200825.html。原本は testdata/law/pension/standard-remuneration-history.md
10	155000	160000	2020	無期限	https://www.nenkin.go.jp/service/kounen/hokenryo/ryogaku/ryogakuhyo/20200825.html。原本は testdata/law/pension/standard-remuneration-history.md
11	165000	170000	2020	無期限	https://www.nenkin.go.jp/service/kounen/hokenryo/ryogaku/ryogakuhyo/20200825.html。原本は testdata/law/pension/standard-remuneration-history.md
12	175000	180000	2020	無期限	https://www.nenkin.go.jp/service/kounen/hokenryo/ryogaku/ryogakuhyo/20200825.html。原本は testdata/law/pension/standard-remuneration-history.md
13	185000	190000	2020	無期限	https://www.nenkin.go.jp/service/kounen/hokenryo/ryogaku/ryogakuhyo/20200825.html。原本は testdata/law/pension/standard-remuneration-history.md
14	195000	200000	2020	無期限	https://www.nenkin.go.jp/service/kounen/hokenryo/ryogaku/ryogakuhyo/20200825.html。原本は testdata/law/pension/standard-remuneration-history.md
15	210000	220000	2020	無期限	https://www.nenkin.go.jp/service/kounen/hokenryo/ryogaku/ryogakuhyo/20200825.html。原本は testdata/law/pension/standard-remuneration-history.md
16	230000	240000	2020	無期限	https://www.nenkin.go.jp/service/kounen/hokenryo/ryogaku/ryogakuhyo/20200825.html。原本は testdata/law/pension/standard-remuneration-history.md
17	250000	260000	2020	無期限	https://www.nenkin.go.jp/service/kounen/hokenryo/ryogaku/ryogakuhyo/20200825.html。原本は testdata/law/pension/standard-remuneration-history.md
18	270000	280000	2020	無期限	https://www.nenkin.go.jp/service/kounen/hokenryo/ryogaku/ryogakuhyo/20200825.html。原本は testdata/law/pension/standard-remuneration-history.md
19	290000	300000	2020	無期限	https://www.nenkin.go.jp/service/kounen/hokenryo/ryogaku/ryogakuhyo/20200825.html。原本は testdata/law/pension/standard-remuneration-history.md
20	310000	320000	2020	無期限	https://www.nenkin.go.jp/service/kounen/hokenryo/ryogaku/ryogakuhyo/20200825.html。原本は testdata/law/pension/standard-remuneration-history.md
21	330000	340000	2020	無期限	https://www.nenkin.go.jp/service/kounen/hokenryo/ryogaku/ryogakuhyo/20200825.html。原本は testdata/law/pension/standard-remuneration-history.md
22	350000	360000	2020	無期限	https://www.nenkin.go.jp/service/kounen/hokenryo/ryogaku/ryogakuhyo/20200825.html。原本は testdata/law/pension/standard-remuneration-history.md
23	370000	380000	2020	無期限	https://www.nenkin.go.jp/service/kounen/hokenryo/ryogaku/ryogakuhyo/20200825.html。原本は testdata/law/pension/standard-remuneration-history.md
24	395000	410000	2020	無期限	https://www.nenkin.go.jp/service/kounen/hokenryo/ryogaku/ryogakuhyo/20200825.html。原本は testdata/law/pension/standard-remuneration-history.md
25	425000	440000	2020	無期限	https://www.nenkin.go.jp/service/kounen/hokenryo/ryogaku/ryogakuhyo/20200825.html。原本は testdata/law/pension/standard-remuneration-history.md
26	455000	470000	2020	無期限	https://www.nenkin.go.jp/service/kounen/hokenryo/ryogaku/ryogakuhyo/20200825.html。原本は testdata/law/pension/standard-remuneration-history.md
27	485000	500000	2020	無期限	https://www.nenkin.go.jp/service/kounen/hokenryo/ryogaku/ryogakuhyo/20200825.html。原本は testdata/law/pension/standard-remuneration-history.md
28	515000	530000	2020	無期限	https://www.nenkin.go.jp/service/kounen/hokenryo/ryogaku/ryogakuhyo/20200825.html。原本は testdata/law/pension/standard-remuneration-history.md
29	545000	560000	2020	無期限	https://www.nenkin.go.jp/service/kounen/hokenryo/ryogaku/ryogakuhyo/20200825.html。原本は testdata/law/pension/standard-remuneration-history.md
30	575000	590000	2020	無期限	https://www.nenkin.go.jp/service/kounen/hokenryo/ryogaku/ryogakuhyo/20200825.html。原本は testdata/law/pension/standard-remuneration-history.md
31	605000	620000	2020	無期限	https://www.nenkin.go.jp/service/kounen/hokenryo/ryogaku/ryogakuhyo/20200825.html。原本は testdata/law/pension/standard-remuneration-history.md
32	635000	650000	2020	無期限	https://www.nenkin.go.jp/service/kounen/hokenryo/ryogaku/ryogakuhyo/20200825.html。原本は testdata/law/pension/standard-remuneration-history.md
