適用開始年	段階	本人の市民税	世帯の市民税課税者	判定所得の下限[円]	保険料[円/年]	適用終了年	出典
2024	1	非課税	いない	0	20,300	2026	八王子市「令和6年度(2024年度)から令和8年度(2026年度)の介護保険料（所得段階）」基準額 年額 71,400 円。原本は testdata/law/hachioji/kaigo-dankai.md。第1段階（基準額×0.285）
2024	2	非課税	いない	809,001	34,600	2026	八王子市「令和6年度(2024年度)から令和8年度(2026年度)の介護保険料（所得段階）」基準額 年額 71,400 円。原本は testdata/law/hachioji/kaigo-dankai.md。第2段階（基準額×0.485）「世帯全員が住民税非課税で、合計が80万9千円超120万円以下」
2024	3	非課税	いない	1,200,001	48,900	2026	八王子市「令和6年度(2024年度)から令和8年度(2026年度)の介護保険料（所得段階）」基準額 年額 71,400 円。原本は testdata/law/hachioji/kaigo-dankai.md。第3段階（基準額×0.685）「世帯全員が住民税非課税で、上記以外」
2024	4	非課税	いる	0	64,300	2026	八王子市「令和6年度(2024年度)から令和8年度(2026年度)の介護保険料（所得段階）」基準額 年額 71,400 円。原本は testdata/law/hachioji/kaigo-dankai.md。第4段階（基準額×0.90）「世帯に住民税課税者がいて、本人の合計が80万9千円以下」
2024	5	非課税	いる	809,001	71,400	2026	八王子市「令和6年度(2024年度)から令和8年度(2026年度)の介護保険料（所得段階）」基準額 年額 71,400 円。原本は testdata/law/hachioji/kaigo-dankai.md。第5段階（基準額×1.00、基準額そのもの）
2024	6	課税	問わない	0	82,100	2026	八王子市「令和6年度(2024年度)から令和8年度(2026年度)の介護保険料（所得段階）」基準額 年額 71,400 円。原本は testdata/law/hachioji/kaigo-dankai.md。第6段階（基準額×1.15）「合計所得金額120万円未満」
2024	7	課税	問わない	1,200,000	92,800	2026	八王子市「令和6年度(2024年度)から令和8年度(2026年度)の介護保険料（所得段階）」基準額 年額 71,400 円。原本は testdata/law/hachioji/kaigo-dankai.md。第7段階（基準額×1.30）「120万円以上210万円未満」
2024	8	課税	問わない	2,100,000	103,500	2026	八王子市「令和6年度(2024年度)から令和8年度(2026年度)の介護保険料（所得段階）」基準額 年額 71,400 円。原本は testdata/law/hachioji/kaigo-dankai.md。第8段階（基準額×1.45）「210万円以上320万円未満」
2024	9	課税	問わない	3,200,000	114,200	2026	八王子市「令和6年度(2024年度)から令和8年度(2026年度)の介護保険料（所得段階）」基準額 年額 71,400 円。原本は testdata/law/hachioji/kaigo-dankai.md。第9段階（基準額×1.60）「320万円以上420万円未満」
2024	10	課税	問わない	4,200,000	125,000	2026	八王子市「令和6年度(2024年度)から令和8年度(2026年度)の介護保険料（所得段階）」基準額 年額 71,400 円。原本は testdata/law/hachioji/kaigo-dankai.md。第10段階（基準額×1.75）「420万円以上520万円未満」
2024	11	課税	問わない	5,200,000	135,700	2026	八王子市「令和6年度(2024年度)から令和8年度(2026年度)の介護保険料（所得段階）」基準額 年額 71,400 円。原本は testdata/law/hachioji/kaigo-dankai.md。第11段階（基準額×1.90）「520万円以上620万円未満」
2024	12	課税	問わない	6,200,000	146,400	2026	八王子市「令和6年度(2024年度)から令和8年度(2026年度)の介護保険料（所得段階）」基準額 年額 71,400 円。原本は testdata/law/hachioji/kaigo-dankai.md。第12段階（基準額×2.05）「620万円以上720万円未満」
2024	13	課税	問わない	7,200,000	149,900	2026	八王子市「令和6年度(2024年度)から令和8年度(2026年度)の介護保険料（所得段階）」基準額 年額 71,400 円。原本は testdata/law/hachioji/kaigo-dankai.md。第13段階（基準額×2.10）「720万円以上850万円未満」
2024	14	課税	問わない	8,500,000	157,100	2026	八王子市「令和6年度(2024年度)から令和8年度(2026年度)の介護保険料（所得段階）」基準額 年額 71,400 円。原本は testdata/law/hachioji/kaigo-dankai.md。第14段階（基準額×2.20）「850万円以上1,000万円未満」
2024	15	課税	問わない	10,000,000	174,900	2026	八王子市「令和6年度(2024年度)から令和8年度(2026年度)の介護保険料（所得段階）」基準額 年額 71,400 円。原本は testdata/law/hachioji/kaigo-dankai.md。第15段階（基準額×2.45）「1,000万円以上1,500万円未満」
2024	16	課税	問わない	15,000,000	192,800	2026	八王子市「令和6年度(2024年度)から令和8年度(2026年度)の介護保険料（所得段階）」基準額 年額 71,400 円。原本は testdata/law/hachioji/kaigo-dankai.md。第16段階（基準額×2.70）「1,500万円以上2,000万円未満」
2024	17	課税	問わない	20,000,000	207,100	2026	八王子市「令和6年度(2024年度)から令和8年度(2026年度)の介護保険料（所得段階）」基準額 年額 71,400 円。原本は testdata/law/hachioji/kaigo-dankai.md。第17段階（基準額×2.90）「2,000万円以上」
