課税所得	所得税	実質利率
0	0	#DIV/0!
2	0.1	5.0%
4	0.2	5.0%
6	0.3	5.0%
8	0.4	5.0%
10	0.5	5.0%
12	0.6	5.0%
14	0.7	5.0%
16	0.8	5.0%
18	0.9	5.0%
20	1	5.0%
22	1.1	5.0%
24	1.2	5.0%
26	1.3	5.0%
28	1.4	5.0%
30	1.5	5.0%
32	1.6	5.0%
34	1.7	5.0%
36	1.8	5.0%
38	1.9	5.0%
40	2	5.0%
42	2.1	5.0%
44	2.2	5.0%
46	2.3	5.0%
48	2.4	5.0%
50	2.5	5.0%
52	2.6	5.0%
54	2.7	5.0%
56	2.8	5.0%
58	2.9	5.0%
60	3	5.0%
62	3.1	5.0%
64	3.2	5.0%
66	3.3	5.0%
68	3.4	5.0%
70	3.5	5.0%
72	3.6	5.0%
74	3.7	5.0%
76	3.8	5.0%
78	3.9	5.0%
80	4	5.0%
82	4.1	5.0%
84	4.2	5.0%
86	4.3	5.0%
88	4.4	5.0%
90	4.5	5.0%
92	4.6	5.0%
94	4.7	5.0%
96	4.8	5.0%
98	4.9	5.0%
100	5	5.0%
102	5.1	5.0%
104	5.2	5.0%
106	5.3	5.0%
108	5.4	5.0%
110	5.5	5.0%
112	5.6	5.0%
114	5.7	5.0%
116	5.8	5.0%
118	5.9	5.0%
120	6	5.0%
122	6.1	5.0%
124	6.2	5.0%
126	6.3	5.0%
128	6.4	5.0%
130	6.5	5.0%
132	6.6	5.0%
134	6.7	5.0%
136	6.8	5.0%
138	6.9	5.0%
140	7	5.0%
142	7.1	5.0%
144	7.2	5.0%
146	7.3	5.0%
148	7.4	5.0%
150	7.5	5.0%
152	7.6	5.0%
154	7.7	5.0%
156	7.8	5.0%
158	7.9	5.0%
160	8	5.0%
162	8.1	5.0%
164	8.2	5.0%
166	8.3	5.0%
168	8.4	5.0%
170	8.5	5.0%
172	8.6	5.0%
174	8.7	5.0%
176	8.8	5.0%
178	8.9	5.0%
180	9	5.0%
182	9.1	5.0%
184	9.2	5.0%
186	9.3	5.0%
188	9.4	5.0%
190	9.5	5.0%
192	9.6	5.0%
194	9.7	5.0%
196	9.85	5.0%
198	10.05	5.1%
200	10.25	5.1%
202	10.45	5.2%
204	10.65	5.2%
206	10.85	5.3%
208	11.05	5.3%
210	11.25	5.4%
212	11.45	5.4%
214	11.65	5.4%
216	11.85	5.5%
218	12.05	5.5%
220	12.25	5.6%
222	12.45	5.6%
224	12.65	5.6%
226	12.85	5.7%
228	13.05	5.7%
230	13.25	5.8%
232	13.45	5.8%
234	13.65	5.8%
236	13.85	5.9%
238	14.05	5.9%
240	14.25	5.9%
242	14.45	6.0%
244	14.65	6.0%
246	14.85	6.0%
248	15.05	6.1%
250	15.25	6.1%
252	15.45	6.1%
254	15.65	6.2%
256	15.85	6.2%
258	16.05	6.2%
260	16.25	6.3%
262	16.45	6.3%
264	16.65	6.3%
266	16.85	6.3%
268	17.05	6.4%
270	17.25	6.4%
272	17.45	6.4%
274	17.65	6.4%
276	17.85	6.5%
278	18.05	6.5%
280	18.25	6.5%
282	18.45	6.5%
284	18.65	6.6%
286	18.85	6.6%
288	19.05	6.6%
290	19.25	6.6%
292	19.45	6.7%
294	19.65	6.7%
296	19.85	6.7%
298	20.05	6.7%
300	20.25	6.8%
302	20.45	6.8%
304	20.65	6.8%
306	20.85	6.8%
308	21.05	6.8%
310	21.25	6.9%
312	21.45	6.9%
314	21.65	6.9%
316	21.85	6.9%
318	22.05	6.9%
320	22.25	7.0%
322	22.45	7.0%
324	22.65	7.0%
326	22.85	7.0%
328	23.05	7.0%
330	23.25	7.0%
332	23.65	7.1%
334	24.05	7.2%
336	24.45	7.3%
338	24.85	7.4%
340	25.25	7.4%
342	25.65	7.5%
344	26.05	7.6%
346	26.45	7.6%
348	26.85	7.7%
350	27.25	7.8%
352	27.65	7.9%
354	28.05	7.9%
356	28.45	8.0%
358	28.85	8.1%
360	29.25	8.1%
362	29.65	8.2%
364	30.05	8.3%
366	30.45	8.3%
368	30.85	8.4%
370	31.25	8.4%
372	31.65	8.5%
374	32.05	8.6%
376	32.45	8.6%
378	32.85	8.7%
380	33.25	8.8%
382	33.65	8.8%
384	34.05	8.9%
386	34.45	8.9%
388	34.85	9.0%
390	35.25	9.0%
392	35.65	9.1%
394	36.05	9.1%
396	36.45	9.2%
398	36.85	9.3%
400	37.25	9.3%
402	37.65	9.4%
404	38.05	9.4%
406	38.45	9.5%
408	38.85	9.5%
410	39.25	9.6%
412	39.65	9.6%
414	40.05	9.7%
416	40.45	9.7%
418	40.85	9.8%
420	41.25	9.8%
422	41.65	9.9%
424	42.05	9.9%
426	42.45	10.0%
428	42.85	10.0%
430	43.25	10.1%
432	43.65	10.1%
434	44.05	10.1%
436	44.45	10.2%
438	44.85	10.2%
440	45.25	10.3%
442	45.65	10.3%
444	46.05	10.4%
446	46.45	10.4%
448	46.85	10.5%
450	47.25	10.5%
452	47.65	10.5%
454	48.05	10.6%
456	48.45	10.6%
458	48.85	10.7%
460	49.25	10.7%
462	49.65	10.7%
464	50.05	10.8%
466	50.45	10.8%
468	50.85	10.9%
470	51.25	10.9%
472	51.65	10.9%
474	52.05	11.0%
476	52.45	11.0%
478	52.85	11.1%
480	53.25	11.1%
482	53.65	11.1%
484	54.05	11.2%
486	54.45	11.2%
488	54.85	11.2%
490	55.25	11.3%
492	55.65	11.3%
494	56.05	11.3%
496	56.45	11.4%
498	56.85	11.4%
500	57.25	11.5%
502	57.65	11.5%
504	58.05	11.5%
506	58.45	11.6%
508	58.85	11.6%
510	59.25	11.6%
512	59.65	11.7%
514	60.05	11.7%
516	60.45	11.7%
518	60.85	11.7%
520	61.25	11.8%
522	61.65	11.8%
524	62.05	11.8%
526	62.45	11.9%
528	62.85	11.9%
530	63.25	11.9%
532	63.65	12.0%
534	64.05	12.0%
536	64.45	12.0%
538	64.85	12.1%
540	65.25	12.1%
542	65.65	12.1%
544	66.05	12.1%
546	66.45	12.2%
548	66.85	12.2%
550	67.25	12.2%
552	67.65	12.3%
554	68.05	12.3%
556	68.45	12.3%
558	68.85	12.3%
560	69.25	12.4%
562	69.65	12.4%
564	70.05	12.4%
566	70.45	12.4%
568	70.85	12.5%
570	71.25	12.5%
572	71.65	12.5%
574	72.05	12.6%
576	72.45	12.6%
578	72.85	12.6%
580	73.25	12.6%
582	73.65	12.7%
584	74.05	12.7%
586	74.45	12.7%
588	74.85	12.7%
590	75.25	12.8%
592	75.65	12.8%
594	76.05	12.8%
596	76.45	12.8%
598	76.85	12.9%
600	77.25	12.9%
602	77.65	12.9%
604	78.05	12.9%
606	78.45	12.9%
608	78.85	13.0%
610	79.25	13.0%
612	79.65	13.0%
614	80.05	13.0%
616	80.45	13.1%
618	80.85	13.1%
620	81.25	13.1%
622	81.65	13.1%
624	82.05	13.1%
626	82.45	13.2%
628	82.85	13.2%
630	83.25	13.2%
632	83.65	13.2%
634	84.05	13.3%
636	84.45	13.3%
638	84.85	13.3%
640	85.25	13.3%
642	85.65	13.3%
644	86.05	13.4%
646	86.45	13.4%
648	86.85	13.4%
650	87.25	13.4%
652	87.65	13.4%
654	88.05	13.5%
656	88.45	13.5%
658	88.85	13.5%
660	89.25	13.5%
662	89.65	13.5%
664	90.05	13.6%
666	90.45	13.6%
668	90.85	13.6%
670	91.25	13.6%
672	91.65	13.6%
674	92.05	13.7%
676	92.45	13.7%
678	92.85	13.7%
680	93.25	13.7%
682	93.65	13.7%
684	94.05	13.8%
686	94.45	13.8%
688	94.85	13.8%
690	95.25	13.8%
692	95.65	13.8%
694	96.05	13.8%
696	96.48	13.9%
698	96.94	13.9%
700	97.4	13.9%
702	97.86	13.9%
704	98.32	14.0%
706	98.78	14.0%
708	99.24	14.0%
710	99.7	14.0%
712	100.16	14.1%
714	100.62	14.1%
716	101.08	14.1%
718	101.54	14.1%
720	102	14.2%
722	102.46	14.2%
724	102.92	14.2%
726	103.38	14.2%
728	103.84	14.3%
730	104.3	14.3%
732	104.76	14.3%
734	105.22	14.3%
736	105.68	14.4%
738	106.14	14.4%
740	106.6	14.4%
742	107.06	14.4%
744	107.52	14.5%
746	107.98	14.5%
748	108.44	14.5%
750	108.9	14.5%
752	109.36	14.5%
754	109.82	14.6%
756	110.28	14.6%
758	110.74	14.6%
760	111.2	14.6%
762	111.66	14.7%
764	112.12	14.7%
766	112.58	14.7%
768	113.04	14.7%
770	113.5	14.7%
772	113.96	14.8%
774	114.42	14.8%
776	114.88	14.8%
778	115.34	14.8%
780	115.8	14.8%
782	116.26	14.9%
784	116.72	14.9%
786	117.18	14.9%
788	117.64	14.9%
790	118.1	14.9%
792	118.56	15.0%
794	119.02	15.0%
796	119.48	15.0%
798	119.94	15.0%
800	120.4	15.1%
802	120.86	15.1%
804	121.32	15.1%
806	121.78	15.1%
808	122.24	15.1%
810	122.7	15.1%
812	123.16	15.2%
814	123.62	15.2%
816	124.08	15.2%
818	124.54	15.2%
820	125	15.2%
822	125.46	15.3%
824	125.92	15.3%
826	126.38	15.3%
828	126.84	15.3%
830	127.3	15.3%
832	127.76	15.4%
834	128.22	15.4%
836	128.68	15.4%
838	129.14	15.4%
840	129.6	15.4%
842	130.06	15.4%
844	130.52	15.5%
846	130.98	15.5%
848	131.44	15.5%
850	131.9	15.5%
852	132.36	15.5%
854	132.82	15.6%
856	133.28	15.6%
858	133.74	15.6%
860	134.2	15.6%
862	134.66	15.6%
864	135.12	15.6%
866	135.58	15.7%
868	136.04	15.7%
870	136.5	15.7%
872	136.96	15.7%
874	137.42	15.7%
876	137.88	15.7%
878	138.34	15.8%
880	138.8	15.8%
882	139.26	15.8%
884	139.72	15.8%
886	140.18	15.8%
888	140.64	15.8%
890	141.1	15.9%
892	141.56	15.9%
894	142.02	15.9%
896	142.48	15.9%
898	142.94	15.9%
900	143.4	15.9%
902	144.06	16.0%
904	144.72	16.0%
906	145.38	16.0%
908	146.04	16.1%
910	146.7	16.1%
912	147.36	16.2%
914	148.02	16.2%
916	148.68	16.2%
918	149.34	16.3%
920	150	16.3%
922	150.66	16.3%
924	151.32	16.4%
926	151.98	16.4%
928	152.64	16.4%
930	153.3	16.5%
932	153.96	16.5%
934	154.62	16.6%
936	155.28	16.6%
938	155.94	16.6%
940	156.6	16.7%
942	157.26	16.7%
944	157.92	16.7%
946	158.58	16.8%
948	159.24	16.8%
950	159.9	16.8%
952	160.56	16.9%
954	161.22	16.9%
956	161.88	16.9%
958	162.54	17.0%
960	163.2	17.0%
962	163.86	17.0%
964	164.52	17.1%
966	165.18	17.1%
968	165.84	17.1%
970	166.5	17.2%
972	167.16	17.2%
974	167.82	17.2%
976	168.48	17.3%
978	169.14	17.3%
980	169.8	17.3%
982	170.46	17.4%
984	171.12	17.4%
986	171.78	17.4%
988	172.44	17.5%
990	173.1	17.5%
992	173.76	17.5%
994	174.42	17.5%
996	175.08	17.6%
998	175.74	17.6%
1000	176.4	17.6%
1002	177.06	17.7%
1004	177.72	17.7%
1006	178.38	17.7%
1008	179.04	17.8%
1010	179.7	17.8%
1012	180.36	17.8%
1014	181.02	17.9%
1016	181.68	17.9%
1018	182.34	17.9%
1020	183	17.9%
1022	183.66	18.0%
1024	184.32	18.0%
1026	184.98	18.0%
1028	185.64	18.1%
1030	186.3	18.1%
1032	186.96	18.1%
1034	187.62	18.1%
1036	188.28	18.2%
1038	188.94	18.2%
1040	189.6	18.2%
1042	190.26	18.3%
1044	190.92	18.3%
1046	191.58	18.3%
1048	192.24	18.3%
1050	192.9	18.4%
1052	193.56	18.4%
1054	194.22	18.4%
1056	194.88	18.5%
1058	195.54	18.5%
1060	196.2	18.5%
1062	196.86	18.5%
1064	197.52	18.6%
1066	198.18	18.6%
1068	198.84	18.6%
1070	199.5	18.6%
1072	200.16	18.7%
1074	200.82	18.7%
1076	201.48	18.7%
1078	202.14	18.8%
1080	202.8	18.8%
1082	203.46	18.8%
1084	204.12	18.8%
1086	204.78	18.9%
1088	205.44	18.9%
1090	206.1	18.9%
1092	206.76	18.9%
1094	207.42	19.0%
1096	208.08	19.0%
1098	208.74	19.0%
1100	209.4	19.0%
1102	210.06	19.1%
1104	210.72	19.1%
1106	211.38	19.1%
1108	212.04	19.1%
1110	212.7	19.2%
1112	213.36	19.2%
1114	214.02	19.2%
1116	214.68	19.2%
1118	215.34	19.3%
1120	216	19.3%
1122	216.66	19.3%
1124	217.32	19.3%
1126	217.98	19.4%
1128	218.64	19.4%
1130	219.3	19.4%
1132	219.96	19.4%
1134	220.62	19.5%
1136	221.28	19.5%
1138	221.94	19.5%
1140	222.6	19.5%
1142	223.26	19.5%
1144	223.92	19.6%
1146	224.58	19.6%
1148	225.24	19.6%
1150	225.9	19.6%
1152	226.56	19.7%
1154	227.22	19.7%
1156	227.88	19.7%
1158	228.54	19.7%
1160	229.2	19.8%
1162	229.86	19.8%
1164	230.52	19.8%
1166	231.18	19.8%
1168	231.84	19.8%
1170	232.5	19.9%
1172	233.16	19.9%
1174	233.82	19.9%
1176	234.48	19.9%
1178	235.14	20.0%
1180	235.8	20.0%
1182	236.46	20.0%
1184	237.12	20.0%
1186	237.78	20.0%
1188	238.44	20.1%
1190	239.1	20.1%
1192	239.76	20.1%
1194	240.42	20.1%
1196	241.08	20.2%
1198	241.74	20.2%
1200	242.4	20.2%
1202	243.06	20.2%
1204	243.72	20.2%
1206	244.38	20.3%
1208	245.04	20.3%
1210	245.7	20.3%
1212	246.36	20.3%
1214	247.02	20.3%
1216	247.68	20.4%
1218	248.34	20.4%
1220	249	20.4%
1222	249.66	20.4%
1224	250.32	20.5%
1226	250.98	20.5%
1228	251.64	20.5%
1230	252.3	20.5%
1232	252.96	20.5%
1234	253.62	20.6%
1236	254.28	20.6%
1238	254.94	20.6%
1240	255.6	20.6%
1242	256.26	20.6%
1244	256.92	20.7%
1246	257.58	20.7%
1248	258.24	20.7%
1250	258.9	20.7%
1252	259.56	20.7%
1254	260.22	20.8%
1256	260.88	20.8%
1258	261.54	20.8%
1260	262.2	20.8%
1262	262.86	20.8%
1264	263.52	20.8%
1266	264.18	20.9%
1268	264.84	20.9%
1270	265.5	20.9%
1272	266.16	20.9%
1274	266.82	20.9%
1276	267.48	21.0%
1278	268.14	21.0%
1280	268.8	21.0%
1282	269.46	21.0%
1284	270.12	21.0%
1286	270.78	21.1%
1288	271.44	21.1%
1290	272.1	21.1%
1292	272.76	21.1%
1294	273.42	21.1%
1296	274.08	21.1%
1298	274.74	21.2%
1300	275.4	21.2%
1302	276.06	21.2%
1304	276.72	21.2%
1306	277.38	21.2%
1308	278.04	21.3%
1310	278.7	21.3%
1312	279.36	21.3%
1314	280.02	21.3%
1316	280.68	21.3%
1318	281.34	21.3%
1320	282	21.4%
1322	282.66	21.4%
1324	283.32	21.4%
1326	283.98	21.4%
1328	284.64	21.4%
1330	285.3	21.5%
1332	285.96	21.5%
1334	286.62	21.5%
1336	287.28	21.5%
1338	287.94	21.5%
1340	288.6	21.5%
1342	289.26	21.6%
1344	289.92	21.6%
1346	290.58	21.6%
1348	291.24	21.6%
1350	291.9	21.6%
1352	292.56	21.6%
1354	293.22	21.7%
1356	293.88	21.7%
1358	294.54	21.7%
1360	295.2	21.7%
1362	295.86	21.7%
1364	296.52	21.7%
1366	297.18	21.8%
1368	297.84	21.8%
1370	298.5	21.8%
1372	299.16	21.8%
1374	299.82	21.8%
1376	300.48	21.8%
1378	301.14	21.9%
1380	301.8	21.9%
1382	302.46	21.9%
1384	303.12	21.9%
1386	303.78	21.9%
1388	304.44	21.9%
1390	305.1	21.9%
1392	305.76	22.0%
1394	306.42	22.0%
1396	307.08	22.0%
1398	307.74	22.0%
1400	308.4	22.0%
1402	309.06	22.0%
1404	309.72	22.1%
1406	310.38	22.1%
1408	311.04	22.1%
1410	311.7	22.1%
1412	312.36	22.1%
1414	313.02	22.1%
1416	313.68	22.2%
1418	314.34	22.2%
1420	315	22.2%
1422	315.66	22.2%
1424	316.32	22.2%
1426	316.98	22.2%
1428	317.64	22.2%
1430	318.3	22.3%
1432	318.96	22.3%
1434	319.62	22.3%
1436	320.28	22.3%
1438	320.94	22.3%
1440	321.6	22.3%
1442	322.26	22.3%
1444	322.92	22.4%
1446	323.58	22.4%
1448	324.24	22.4%
1450	324.9	22.4%
1452	325.56	22.4%
1454	326.22	22.4%
1456	326.88	22.5%
1458	327.54	22.5%
1460	328.2	22.5%
1462	328.86	22.5%
1464	329.52	22.5%
1466	330.18	22.5%
1468	330.84	22.5%
1470	331.5	22.6%
1472	332.16	22.6%
1474	332.82	22.6%
1476	333.48	22.6%
1478	334.14	22.6%
1480	334.8	22.6%
1482	335.46	22.6%
1484	336.12	22.6%
1486	336.78	22.7%
1488	337.44	22.7%
1490	338.1	22.7%
1492	338.76	22.7%
1494	339.42	22.7%
1496	340.08	22.7%
1498	340.74	22.7%
1500	341.4	22.8%
1502	342.06	22.8%
1504	342.72	22.8%
1506	343.38	22.8%
1508	344.04	22.8%
1510	344.7	22.8%
1512	345.36	22.8%
1514	346.02	22.9%
1516	346.68	22.9%
1518	347.34	22.9%
1520	348	22.9%
1522	348.66	22.9%
1524	349.32	22.9%
1526	349.98	22.9%
1528	350.64	22.9%
1530	351.3	23.0%
1532	351.96	23.0%
1534	352.62	23.0%
1536	353.28	23.0%
1538	353.94	23.0%
1540	354.6	23.0%
1542	355.26	23.0%
1544	355.92	23.1%
1546	356.58	23.1%
1548	357.24	23.1%
1550	357.9	23.1%
1552	358.56	23.1%
1554	359.22	23.1%
1556	359.88	23.1%
1558	360.54	23.1%
1560	361.2	23.2%
1562	361.86	23.2%
1564	362.52	23.2%
1566	363.18	23.2%
1568	363.84	23.2%
1570	364.5	23.2%
1572	365.16	23.2%
1574	365.82	23.2%
1576	366.48	23.3%
1578	367.14	23.3%
1580	367.8	23.3%
1582	368.46	23.3%
1584	369.12	23.3%
1586	369.78	23.3%
1588	370.44	23.3%
1590	371.1	23.3%
1592	371.76	23.4%
1594	372.42	23.4%
1596	373.08	23.4%
1598	373.74	23.4%
1600	374.4	23.4%
1602	375.06	23.4%
1604	375.72	23.4%
1606	376.38	23.4%
1608	377.04	23.4%
1610	377.7	23.5%
1612	378.36	23.5%
1614	379.02	23.5%
1616	379.68	23.5%
1618	380.34	23.5%
1620	381	23.5%
1622	381.66	23.5%
1624	382.32	23.5%
1626	382.98	23.6%
1628	383.64	23.6%
1630	384.3	23.6%
1632	384.96	23.6%
1634	385.62	23.6%
1636	386.28	23.6%
1638	386.94	23.6%
1640	387.6	23.6%
1642	388.26	23.6%
1644	388.92	23.7%
1646	389.58	23.7%
1648	390.24	23.7%
1650	390.9	23.7%
1652	391.56	23.7%
1654	392.22	23.7%
1656	392.88	23.7%
1658	393.54	23.7%
1660	394.2	23.7%
