生命保険料	生命保険料控除額
0.00万	0
0.10万	0.1
0.20万	0.2
0.30万	0.3
0.40万	0.4
0.50万	0.5
0.60万	0.6
0.70万	0.7
0.80万	0.8
0.90万	0.9
1.00万	1
1.10万	1.1
1.20万	1.2
1.30万	1.3
1.40万	1.4
1.50万	1.5
1.60万	1.6
1.70万	1.7
1.80万	1.8
1.90万	1.9
2.00万	2
2.10万	2.05
2.20万	2.1
2.30万	2.15
2.40万	2.2
2.50万	2.25
2.60万	2.3
2.70万	2.35
2.80万	2.4
2.90万	2.45
3.00万	2.5
3.10万	2.55
3.20万	2.6
3.30万	2.65
3.40万	2.7
3.50万	2.75
3.60万	2.8
3.70万	2.85
3.80万	2.9
3.90万	2.95
4.00万	3
4.10万	3.025
4.20万	3.05
4.30万	3.075
4.40万	3.1
4.50万	3.125
4.60万	3.15
4.70万	3.175
4.80万	3.2
4.90万	3.225
5.00万	3.25
5.10万	3.275
5.20万	3.3
5.30万	3.325
5.40万	3.35
5.50万	3.375
5.60万	3.4
5.70万	3.425
5.80万	3.45
5.90万	3.475
6.00万	3.5
6.10万	3.525
6.20万	3.55
6.30万	3.575
6.40万	3.6
6.50万	3.625
6.60万	3.65
6.70万	3.675
6.80万	3.7
6.90万	3.725
7.00万	3.75
7.10万	3.775
7.20万	3.8
7.30万	3.825
7.40万	3.85
7.50万	3.875
7.60万	3.9
7.70万	3.925
7.80万	3.95
7.90万	3.975
8.00万	4
