年金収入	年金所得額
0	0
2	0
4	0
6	0
8	0
10	0
12	0
14	0
16	0
18	0
20	0
22	0
24	0
26	0
28	0
30	0
32	0
34	0
36	0
38	0
40	0
42	0
44	0
46	0
48	0
50	0
52	0
54	0
56	0
58	0
60	0
62	0
64	0
66	0
68	0
70	0
72	0
74	0
76	0
78	0
80	0
82	0
84	0
86	0
88	0
90	0
92	0
94	0
96	0
98	0
100	0
102	0
104	0
106	0
108	0
110	0
112	2
114	4
116	6
118	8
120	10
122	12
124	14
126	16
128	18
130	20
132	22
134	24
136	26
138	28
140	30
142	32
144	34
146	36
148	38
150	40
152	42
154	44
156	46
158	48
160	50
162	52
164	54
166	56
168	58
170	60
172	62
174	64
176	66
178	68
180	70
182	72
184	74
186	76
188	78
190	80
192	82
194	84
196	86
198	88
200	90
202	92
204	94
206	96
208	98
210	100
212	102
214	104
216	106
218	108
220	110
222	112
224	114
226	116
228	118
230	120
232	122
234	124
236	126
238	128
240	130
242	132
244	134
246	136
248	138
250	140
252	142
254	144
256	146
258	148
260	150
262	152
264	154
266	156
268	158
270	160
272	162
274	164
276	166
278	168
280	170
282	172
284	174
286	176
288	178
290	180
292	182
294	184
296	186
298	188
300	190
302	192
304	194
306	196
308	198
310	200
312	202
314	204
316	206
318	208
320	210
322	212
324	214
326	216
328	218
330	220
332	221.5
334	223
336	224.5
338	226
340	227.5
342	229
344	230.5
346	232
348	233.5
350	235
352	236.5
354	238
356	239.5
358	241
360	242.5
362	244
364	245.5
366	247
368	248.5
370	250
372	251.5
374	253
376	254.5
378	256
380	257.5
382	259
384	260.5
386	262
388	263.5
390	265
392	266.5
394	268
396	269.5
398	271
400	272.5
402	274
404	275.5
406	277
408	278.5
410	280
412	281.7
414	283.4
416	285.1
418	286.8
420	288.5
422	290.2
424	291.9
426	293.6
428	295.3
430	297
432	298.7
434	300.4
436	302.1
438	303.8
440	305.5
442	307.2
444	308.9
446	310.6
448	312.3
450	314
452	315.7
454	317.4
456	319.1
458	320.8
460	322.5
462	324.2
464	325.9
466	327.6
468	329.3
470	331
472	332.7
474	334.4
476	336.1
478	337.8
480	339.5
482	341.2
484	342.9
486	344.6
488	346.3
490	348
492	349.7
494	351.4
496	353.1
498	354.8
500	356.5
502	358.2
504	359.9
506	361.6
508	363.3
510	365
512	366.7
514	368.4
516	370.1
518	371.8
520	373.5
522	375.2
524	376.9
526	378.6
528	380.3
530	382
532	383.7
534	385.4
536	387.1
538	388.8
540	390.5
542	392.2
544	393.9
546	395.6
548	397.3
550	399
552	400.7
554	402.4
556	404.1
558	405.8
560	407.5
562	409.2
564	410.9
566	412.6
568	414.3
570	416
572	417.7
574	419.4
576	421.1
578	422.8
580	424.5
582	426.2
584	427.9
586	429.6
588	431.3
590	433
592	434.7
594	436.4
596	438.1
598	439.8
600	441.5
602	443.2
604	444.9
606	446.6
608	448.3
610	450
612	451.7
614	453.4
616	455.1
618	456.8
620	458.5
622	460.2
624	461.9
626	463.6
628	465.3
630	467
632	468.7
634	470.4
636	472.1
638	473.8
640	475.5
642	477.2
644	478.9
646	480.6
648	482.3
650	484
652	485.7
654	487.4
656	489.1
658	490.8
660	492.5
662	494.2
664	495.9
666	497.6
668	499.3
670	501
672	502.7
674	504.4
676	506.1
678	507.8
680	509.5
682	511.2
684	512.9
686	514.6
688	516.3
690	518
692	519.7
694	521.4
696	523.1
698	524.8
700	526.5
702	528.2
704	529.9
706	531.6
708	533.3
710	535
712	536.7
714	538.4
716	540.1
718	541.8
720	543.5
722	545.2
724	546.9
726	548.6
728	550.3
730	552
732	553.7
734	555.4
736	557.1
738	558.8
740	560.5
742	562.2
744	563.9
746	565.6
748	567.3
750	569
752	570.7
754	572.4
756	574.1
758	575.8
760	577.5
762	579.2
764	580.9
766	582.6
768	584.3
770	586
772	587.9
774	589.8
776	591.7
778	593.6
780	595.5
782	597.4
784	599.3
786	601.2
788	603.1
790	605
792	606.9
794	608.8
796	610.7
798	612.6
800	614.5
802	616.4
804	618.3
806	620.2
808	622.1
810	624
812	625.9
814	627.8
816	629.7
818	631.6
820	633.5
822	635.4
824	637.3
826	639.2
828	641.1
830	643
832	644.9
834	646.8
836	648.7
838	650.6
840	652.5
842	654.4
844	656.3
846	658.2
848	660.1
850	662
852	663.9
854	665.8
856	667.7
858	669.6
860	671.5
862	673.4
864	675.3
866	677.2
868	679.1
870	681
872	682.9
874	684.8
876	686.7
878	688.6
880	690.5
882	692.4
884	694.3
886	696.2
888	698.1
890	700
892	701.9
894	703.8
896	705.7
898	707.6
900	709.5
902	711.4
904	713.3
906	715.2
908	717.1
910	719
912	720.9
914	722.8
916	724.7
918	726.6
920	728.5
922	730.4
924	732.3
926	734.2
928	736.1
930	738
932	739.9
934	741.8
936	743.7
938	745.6
940	747.5
942	749.4
944	751.3
946	753.2
948	755.1
950	757
952	758.9
954	760.8
956	762.7
958	764.6
960	766.5
962	768.4
964	770.3
966	772.2
968	774.1
970	776
972	777.9
974	779.8
976	781.7
978	783.6
980	785.5
982	787.4
984	789.3
986	791.2
988	793.1
990	795
992	796.9
994	798.8
996	800.7
998	802.6
1000	804.5
