経過年数	固定資産税課税標準額	固定資産税額
1	2874万	20万
2	2793万	20万
3	2711万	19万
4	2641万	18万
5	2571万	18万
6	2501万	35万
7	2430万	34万
8	2360万	33万
9	2290万	32万
10	2219万	31万
11	2149万	30万
12	2079万	29万
13	2009万	28万
14	1938万	27万
15	1868万	26万
16	1798万	25万
17	1727万	24万
18	1657万	23万
19	1586万	22万
20	1516万	21万
21	1446万	20万
22	1376万	19万
23	1316万	18万
24	1257万	18万
25	1198万	17万
26	1138万	16万
27	1079万	15万
28	1019万	14万
29	968万	14万
30	918万	13万
31	875万	12万
32	832万	12万
33	789万	11万
34	746万	10万
35	704万	10万
36	688万	10万
37	673万	9万
38	657万	9万
39	642万	9万
40	627万	9万
41	621万	9万
42	616万	9万
43	611万	9万
44	605万	8万
45	600万	8万
46	600万	8万
47	600万	8万
48	600万	8万
49	600万	8万
50	600万	8万
51	600万	8万
52	600万	8万
53	600万	8万
54	600万	8万
55	600万	8万
56	600万	8万
57	600万	8万
58	600万	8万
59	600万	8万
60	600万	8万
61	600万	8万
62	600万	8万
63	600万	8万
64	600万	8万
65	600万	8万
66	600万	8万
67	600万	8万
68	600万	8万
69	600万	8万
70	600万	8万
71	600万	8万
72	600万	8万
73	600万	8万
74	600万	8万
75	600万	8万
76	600万	8万
77	600万	8万
78	600万	8万
79	600万	8万
80	600万	8万
81	600万	8万
82	600万	8万
83	600万	8万
84	600万	8万
85	600万	8万
86	600万	8万
87	600万	8万
88	600万	8万
89	600万	8万
90	600万	8万
91	600万	8万
92	600万	8万
93	600万	8万
94	600万	8万
95	600万	8万
96	600万	8万
97	600万	8万
98	600万	8万
99	600万	8万
100	600万	8万
101	600万	8万
102	600万	8万
103	600万	8万
104	600万	8万
105	600万	8万
106	600万	8万
107	600万	8万
108	600万	8万
109	600万	8万
110	600万	8万
111	600万	8万
112	600万	8万
113	600万	8万
114	600万	8万
115	600万	8万
116	600万	8万
117	600万	8万
118	600万	8万
119	600万	8万
120	600万	8万
121	600万	8万
122	600万	8万
123	600万	8万
124	600万	8万
125	600万	8万
126	600万	8万
127	600万	8万
128	600万	8万
129	600万	8万
130	600万	8万
131	600万	8万
132	600万	8万
133	600万	8万
134	600万	8万
135	600万	8万
136	600万	8万
137	600万	8万
138	600万	8万
139	600万	8万
140	600万	8万
141	600万	8万
142	600万	8万
143	600万	8万
144	600万	8万
145	600万	8万
146	600万	8万
147	600万	8万
148	600万	8万
149	600万	8万
150	600万	8万
151	600万	8万
152	600万	8万
153	600万	8万
154	600万	8万
155	600万	8万
156	600万	8万
157	600万	8万
158	600万	8万
159	600万	8万
160	600万	8万
161	600万	8万
162	600万	8万
163	600万	8万
164	600万	8万
