収入金額	所得金額
0	0
2	0
4	0
6	0
8	0
10	0
12	0
14	0
16	0
18	0
20	0
22	0
24	0
26	0
28	0
30	0
32	0
34	0
36	0
38	0
40	0
42	0
44	0
46	0
48	0
50	0
52	0
54	0
56	1
58	3
60	5
62	7
64	9
66	11
68	13
70	15
72	17
74	19
76	21
78	23
80	25
82	27
84	29
86	31
88	33
90	35
92	37
94	39
96	41
98	43
100	45
102	47
104	49
106	51
108	53
110	55
112	57
114	59
116	61
118	63
120	65
122	67
124	69
126	71
128	73
130	75
132	77
134	79
136	81
138	83
140	85
142	87
144	89
146	91
148	93
150	95
152	97
154	99
156	101
158	103
160	105
162	107
164	108.4
166	109.6
168	110.8
170	112
172	113.2
174	114.4
176	115.6
178	116.8
180	118
182	119.4
184	120.8
186	122.2
188	123.6
190	125
192	126.4
194	127.8
196	129.2
198	130.6
200	132
202	133.4
204	134.8
206	136.2
208	137.6
210	139
212	140.4
214	141.8
216	143.2
218	144.6
220	146
222	147.4
224	148.8
226	150.2
228	151.6
230	153
232	154.4
234	155.8
236	157.2
238	158.6
240	160
242	161.4
244	162.8
246	164.2
248	165.6
250	167
252	168.4
254	169.8
256	171.2
258	172.6
260	174
262	175.4
264	176.8
266	178.2
268	179.6
270	181
272	182.4
274	183.8
276	185.2
278	186.6
280	188
282	189.4
284	190.8
286	192.2
288	193.6
290	195
292	196.4
294	197.8
296	199.2
298	200.6
300	202
302	203.4
304	204.8
306	206.2
308	207.6
310	209
312	210.4
314	211.8
316	213.2
318	214.6
320	216
322	217.4
324	218.8
326	220.2
328	221.6
330	223
332	224.4
334	225.8
336	227.2
338	228.6
340	230
342	231.4
344	232.8
346	234.2
348	235.6
350	237
352	238.4
354	239.8
356	241.2
358	242.6
360	244
362	245.6
364	247.2
366	248.8
368	250.4
370	252
372	253.6
374	255.2
376	256.8
378	258.4
380	260
382	261.6
384	263.2
386	264.8
388	266.4
390	268
392	269.6
394	271.2
396	272.8
398	274.4
400	276
402	277.6
404	279.2
406	280.8
408	282.4
410	284
412	285.6
414	287.2
416	288.8
418	290.4
420	292
422	293.6
424	295.2
426	296.8
428	298.4
430	300
432	301.6
434	303.2
436	304.8
438	306.4
440	308
442	309.6
444	311.2
446	312.8
448	314.4
450	316
452	317.6
454	319.2
456	320.8
458	322.4
460	324
462	325.6
464	327.2
466	328.8
468	330.4
470	332
472	333.6
474	335.2
476	336.8
478	338.4
480	340
482	341.6
484	343.2
486	344.8
488	346.4
490	348
492	349.6
494	351.2
496	352.8
498	354.4
500	356
502	357.6
504	359.2
506	360.8
508	362.4
510	364
512	365.6
514	367.2
516	368.8
518	370.4
520	372
522	373.6
524	375.2
526	376.8
528	378.4
530	380
532	381.6
534	383.2
536	384.8
538	386.4
540	388
542	389.6
544	391.2
546	392.8
548	394.4
550	396
552	397.6
554	399.2
556	400.8
558	402.4
560	404
562	405.6
564	407.2
566	408.8
568	410.4
570	412
572	413.6
574	415.2
576	416.8
578	418.4
580	420
582	421.6
584	423.2
586	424.8
588	426.4
590	428
592	429.6
594	431.2
596	432.8
598	434.4
600	436
602	437.6
604	439.2
606	440.8
608	442.4
610	444
612	445.6
614	447.2
616	448.8
618	450.4
620	452
622	453.6
624	455.2
626	456.8
628	458.4
630	460
632	461.6
634	463.2
636	464.8
638	466.4
640	468
642	469.6
644	471.2
646	472.8
648	474.4
650	476
652	477.6
654	479.2
656	480.8
658	482.4
660	484
662	485.8
664	487.6
666	489.4
668	491.2
670	493
672	494.8
674	496.6
676	498.4
678	500.2
680	502
682	503.8
684	505.6
686	507.4
688	509.2
690	511
692	512.8
694	514.6
