収入金額	合計所得1000万円以下	合計所得2000万円以下	合計所得2000超
0	0	0	0
2	0	0	0
4	0	0	0
6	0	0	0
8	0	0	0
10	0	0	0
12	0	0	0
14	0	0	0
16	0	0	0
18	0	0	0
20	0	0	0
22	0	0	0
24	0	0	0
26	0	0	0
28	0	0	0
30	0	0	0
32	0	0	0
34	0	0	0
36	0	0	0
38	0	0	0
40	0	0	0
42	0	0	0
44	0	0	0
46	0	0	0
48	0	0	0
50	0	0	0
52	0	0	0
54	0	0	0
56	0	0	0
58	0	0	0
60	0	0	0
62	0	0	0
64	0	0	0
66	0	0	0
68	0	0	0
70	0	0	0
72	0	0	0
74	0	0	0
76	0	0	0
78	0	0	0
80	0	0	0
82	0	0	0
84	0	0	0
86	0	0	0
88	0	0	0
90	0	0	0
92	0	0	2
94	0	0	4
96	0	0	6
98	0	0	8
100	0	0	10
102	0	2	12
104	0	4	14
106	0	6	16
108	0	8	18
110	0	10	20
112	2	12	22
114	4	14	24
116	6	16	26
118	8	18	28
120	10	20	30
122	12	22	32
124	14	24	34
126	16	26	36
128	18	28	38
130	20	30	40
132	22	32	42
134	24	34	44
136	26	36	46
138	28	38	48
140	30	40	50
142	32	42	52
144	34	44	54
146	36	46	56
148	38	48	58
150	40	50	60
152	42	52	62
154	44	54	64
156	46	56	66
158	48	58	68
160	50	60	70
162	52	62	72
164	54	64	74
166	56	66	76
168	58	68	78
170	60	70	80
172	62	72	82
174	64	74	84
176	66	76	86
178	68	78	88
180	70	80	90
182	72	82	92
184	74	84	94
186	76	86	96
188	78	88	98
190	80	90	100
192	82	92	102
194	84	94	104
196	86	96	106
198	88	98	108
200	90	100	110
202	92	102	112
204	94	104	114
206	96	106	116
208	98	108	118
210	100	110	120
212	102	112	122
214	104	114	124
216	106	116	126
218	108	118	128
220	110	120	130
222	112	122	132
224	114	124	134
226	116	126	136
228	118	128	138
230	120	130	140
232	122	132	142
234	124	134	144
236	126	136	146
238	128	138	148
240	130	140	150
242	132	142	152
244	134	144	154
246	136	146	156
248	138	148	158
250	140	150	160
252	142	152	162
254	144	154	164
256	146	156	166
258	148	158	168
260	150	160	170
262	152	162	172
264	154	164	174
266	156	166	176
268	158	168	178
270	160	170	180
272	162	172	182
274	164	174	184
276	166	176	186
278	168	178	188
280	170	180	190
282	172	182	192
284	174	184	194
286	176	186	196
288	178	188	198
290	180	190	200
292	182	192	202
294	184	194	204
296	186	196	206
298	188	198	208
300	190	200	210
302	192	202	212
304	194	204	214
306	196	206	216
308	198	208	218
310	200	210	220
312	202	212	222
314	204	214	224
316	206	216	226
318	208	218	228
320	210	220	230
322	212	222	232
324	214	224	234
326	216	226	236
328	218	228	238
330	220	230	240
332	221.5	231.5	241.5
334	223	233	243
336	224.5	234.5	244.5
338	226	236	246
340	227.5	237.5	247.5
342	229	239	249
344	230.5	240.5	250.5
346	232	242	252
348	233.5	243.5	253.5
350	235	245	255
352	236.5	246.5	256.5
354	238	248	258
356	239.5	249.5	259.5
358	241	251	261
360	242.5	252.5	262.5
362	244	254	264
364	245.5	255.5	265.5
366	247	257	267
368	248.5	258.5	268.5
370	250	260	270
372	251.5	261.5	271.5
374	253	263	273
376	254.5	264.5	274.5
378	256	266	276
380	257.5	267.5	277.5
382	259	269	279
384	260.5	270.5	280.5
386	262	272	282
388	263.5	273.5	283.5
390	265	275	285
392	266.5	276.5	286.5
394	268	278	288
396	269.5	279.5	289.5
398	271	281	291
400	272.5	282.5	292.5
402	274	284	294
404	275.5	285.5	295.5
406	277	287	297
408	278.5	288.5	298.5
410	280	290	300
412	281.7	291.7	301.7
414	283.4	293.4	303.4
416	285.1	295.1	305.1
418	286.8	296.8	306.8
420	288.5	298.5	308.5
422	290.2	300.2	310.2
424	291.9	301.9	311.9
426	293.6	303.6	313.6
428	295.3	305.3	315.3
430	297	307	317
432	298.7	308.7	318.7
434	300.4	310.4	320.4
436	302.1	312.1	322.1
438	303.8	313.8	323.8
440	305.5	315.5	325.5
442	307.2	317.2	327.2
444	308.9	318.9	328.9
446	310.6	320.6	330.6
448	312.3	322.3	332.3
450	314	324	334
452	315.7	325.7	335.7
454	317.4	327.4	337.4
456	319.1	329.1	339.1
458	320.8	330.8	340.8
460	322.5	332.5	342.5
462	324.2	334.2	344.2
464	325.9	335.9	345.9
466	327.6	337.6	347.6
468	329.3	339.3	349.3
470	331	341	351
472	332.7	342.7	352.7
474	334.4	344.4	354.4
476	336.1	346.1	356.1
478	337.8	347.8	357.8
480	339.5	349.5	359.5
482	341.2	351.2	361.2
484	342.9	352.9	362.9
486	344.6	354.6	364.6
