給与収入額	給与所得控除	給与所得額
0	55	0
2	55	0
4	55	0
6	55	0
8	55	0
10	55	0
12	55	0
14	55	0
16	55	0
18	55	0
20	55	0
22	55	0
24	55	0
26	55	0
28	55	0
30	55	0
32	55	0
34	55	0
36	55	0
38	55	0
40	55	0
42	55	0
44	55	0
46	55	0
48	55	0
50	55	0
52	55	0
54	55	0
56	55	1
58	55	3
60	55	5
62	55	7
64	55	9
66	55	11
68	55	13
70	55	15
72	55	17
74	55	19
76	55	21
78	55	23
80	55	25
82	55	27
84	55	29
86	55	31
88	55	33
90	55	35
92	55	37
94	55	39
96	55	41
98	55	43
100	55	45
102	55	47
104	55	49
106	55	51
108	55	53
110	55	55
112	55	57
114	55	59
116	55	61
118	55	63
120	55	65
122	55	67
124	55	69
126	55	71
128	55	73
130	55	75
132	55	77
134	55	79
136	55	81
138	55	83
140	55	85
142	55	87
144	55	89
146	55	91
148	55	93
150	55	95
152	55	97
154	55	99
156	55	101
158	55	103
160	55	105
162	55	107
164	55.6	108.4
166	56.4	109.6
168	57.2	110.8
170	58	112
172	58.8	113.2
174	59.6	114.4
176	60.4	115.6
178	61.2	116.8
180	62	118
182	62.6	119.4
184	63.2	120.8
186	63.8	122.2
188	64.4	123.6
190	65	125
192	65.6	126.4
194	66.2	127.8
196	66.8	129.2
198	67.4	130.6
200	68	132
202	68.6	133.4
204	69.2	134.8
206	69.8	136.2
208	70.4	137.6
210	71	139
212	71.6	140.4
214	72.2	141.8
216	72.8	143.2
218	73.4	144.6
220	74	146
222	74.6	147.4
224	75.2	148.8
226	75.8	150.2
228	76.4	151.6
230	77	153
232	77.6	154.4
234	78.2	155.8
236	78.8	157.2
238	79.4	158.6
240	80	160
242	80.6	161.4
244	81.2	162.8
246	81.8	164.2
248	82.4	165.6
250	83	167
252	83.6	168.4
254	84.2	169.8
256	84.8	171.2
258	85.4	172.6
260	86	174
262	86.6	175.4
264	87.2	176.8
266	87.8	178.2
268	88.4	179.6
270	89	181
272	89.6	182.4
274	90.2	183.8
276	90.8	185.2
278	91.4	186.6
280	92	188
282	92.6	189.4
284	93.2	190.8
286	93.8	192.2
288	94.4	193.6
290	95	195
292	95.6	196.4
294	96.2	197.8
296	96.8	199.2
298	97.4	200.6
300	98	202
302	98.6	203.4
304	99.2	204.8
306	99.8	206.2
308	100.4	207.6
310	101	209
312	101.6	210.4
314	102.2	211.8
316	102.8	213.2
318	103.4	214.6
320	104	216
322	104.6	217.4
324	105.2	218.8
326	105.8	220.2
328	106.4	221.6
330	107	223
332	107.6	224.4
334	108.2	225.8
336	108.8	227.2
338	109.4	228.6
340	110	230
342	110.6	231.4
344	111.2	232.8
346	111.8	234.2
348	112.4	235.6
350	113	237
352	113.6	238.4
354	114.2	239.8
356	114.8	241.2
358	115.4	242.6
360	116	244
362	116.4	245.6
364	116.8	247.2
366	117.2	248.8
368	117.6	250.4
370	118	252
372	118.4	253.6
374	118.8	255.2
376	119.2	256.8
378	119.6	258.4
380	120	260
382	120.4	261.6
384	120.8	263.2
386	121.2	264.8
388	121.6	266.4
390	122	268
392	122.4	269.6
394	122.8	271.2
396	123.2	272.8
398	123.6	274.4
400	124	276
402	124.4	277.6
404	124.8	279.2
406	125.2	280.8
408	125.6	282.4
410	126	284
412	126.4	285.6
414	126.8	287.2
416	127.2	288.8
418	127.6	290.4
420	128	292
422	128.4	293.6
424	128.8	295.2
426	129.2	296.8
428	129.6	298.4
430	130	300
432	130.4	301.6
434	130.8	303.2
436	131.2	304.8
438	131.6	306.4
440	132	308
442	132.4	309.6
444	132.8	311.2
446	133.2	312.8
448	133.6	314.4
450	134	316
452	134.4	317.6
454	134.8	319.2
456	135.2	320.8
458	135.6	322.4
460	136	324
462	136.4	325.6
464	136.8	327.2
466	137.2	328.8
468	137.6	330.4
470	138	332
472	138.4	333.6
474	138.8	335.2
476	139.2	336.8
478	139.6	338.4
480	140	340
482	140.4	341.6
484	140.8	343.2
486	141.2	344.8
488	141.6	346.4
490	142	348
492	142.4	349.6
494	142.8	351.2
496	143.2	352.8
498	143.6	354.4
500	144	356
502	144.4	357.6
504	144.8	359.2
506	145.2	360.8
508	145.6	362.4
510	146	364
512	146.4	365.6
514	146.8	367.2
516	147.2	368.8
518	147.6	370.4
520	148	372
522	148.4	373.6
524	148.8	375.2
526	149.2	376.8
528	149.6	378.4
530	150	380
532	150.4	381.6
534	150.8	383.2
536	151.2	384.8
538	151.6	386.4
540	152	388
542	152.4	389.6
544	152.8	391.2
546	153.2	392.8
548	153.6	394.4
550	154	396
552	154.4	397.6
554	154.8	399.2
556	155.2	400.8
558	155.6	402.4
560	156	404
562	156.4	405.6
564	156.8	407.2
566	157.2	408.8
568	157.6	410.4
570	158	412
572	158.4	413.6
574	158.8	415.2
576	159.2	416.8
578	159.6	418.4
580	160	420
582	160.4	421.6
584	160.8	423.2
586	161.2	424.8
588	161.6	426.4
590	162	428
592	162.4	429.6
594	162.8	431.2
596	163.2	432.8
598	163.6	434.4
600	164	436
602	164.4	437.6
604	164.8	439.2
606	165.2	440.8
608	165.6	442.4
610	166	444
612	166.4	445.6
614	166.8	447.2
616	167.2	448.8
618	167.6	450.4
620	168	452
622	168.4	453.6
624	168.8	455.2
626	169.2	456.8
628	169.6	458.4
630	170	460
632	170.4	461.6
634	170.8	463.2
636	171.2	464.8
638	171.6	466.4
640	172	468
642	172.4	469.6
644	172.8	471.2
646	173.2	472.8
648	173.6	474.4
650	174	476
652	174.4	477.6
654	174.8	479.2
656	175.2	480.8
658	175.6	482.4
660	176	484
662	176.2	485.8
664	176.4	487.6
666	176.6	489.4
668	176.8	491.2
670	177	493
672	177.2	494.8
674	177.4	496.6
676	177.6	498.4
678	177.8	500.2
680	178	502
682	178.2	503.8
684	178.4	505.6
686	178.6	507.4
688	178.8	509.2
690	179	511
692	179.2	512.8
694	179.4	514.6
696	179.6	516.4
698	179.8	518.2
700	180	520
702	180.2	521.8
704	180.4	523.6
706	180.6	525.4
708	180.8	527.2
710	181	529
712	181.2	530.8
714	181.4	532.6
716	181.6	534.4
718	181.8	536.2
720	182	538
722	182.2	539.8
724	182.4	541.6
726	182.6	543.4
728	182.8	545.2
730	183	547
732	183.2	548.8
734	183.4	550.6
736	183.6	552.4
738	183.8	554.2
740	184	556
742	184.2	557.8
744	184.4	559.6
746	184.6	561.4
748	184.8	563.2
750	185	565
752	185.2	566.8
754	185.4	568.6
756	185.6	570.4
758	185.8	572.2
760	186	574
762	186.2	575.8
764	186.4	577.6
766	186.6	579.4
768	186.8	581.2
770	187	583
772	187.2	584.8
774	187.4	586.6
776	187.6	588.4
778	187.8	590.2
780	188	592
782	188.2	593.8
784	188.4	595.6
786	188.6	597.4
788	188.8	599.2
790	189	601
792	189.2	602.8
794	189.4	604.6
796	189.6	606.4
798	189.8	608.2
800	190	610
802	190.2	611.8
804	190.4	613.6
806	190.6	615.4
808	190.8	617.2
