等級	報酬月額上限[円]	標準月額報酬[円]	報酬月額上限	標準報酬月額	健康保険料	介護保険料	col8
1	¥0	¥58,000	0.0万/年	5.8万/年	0.2万/年	0.1万/年	https://www.its-kenpo.or.jp/hoken/jimu/hokenryou/houshuu.html
2	¥73,000	¥68,000	7.3万/年	6.8万/年	0.3万/年	0.1万/年	
3	¥83,000	¥78,000	8.3万/年	7.8万/年	0.3万/年	0.1万/年	
4	¥93,000	¥88,000	9.3万/年	8.8万/年	0.4万/年	0.1万/年	
5	¥101,000	¥98,000	10.1万/年	9.8万/年	0.4万/年	0.1万/年	
6	¥107,000	¥104,000	10.7万/年	10.4万/年	0.4万/年	0.1万/年	
7	¥114,000	¥110,000	11.4万/年	11.0万/年	0.5万/年	0.1万/年	
8	¥122,000	¥118,000	12.2万/年	11.8万/年	0.5万/年	0.1万/年	
9	¥130,000	¥126,000	13.0万/年	12.6万/年	0.5万/年	0.1万/年	
10	¥138,000	¥134,000	13.8万/年	13.4万/年	0.6万/年	0.1万/年	
11	¥146,000	¥142,000	14.6万/年	14.2万/年	0.6万/年	0.1万/年	
12	¥155,000	¥150,000	15.5万/年	15.0万/年	0.6万/年	0.2万/年	
13	¥165,000	¥160,000	16.5万/年	16.0万/年	0.7万/年	0.2万/年	
14	¥175,000	¥170,000	17.5万/年	17.0万/年	0.7万/年	0.2万/年	
15	¥185,000	¥180,000	18.5万/年	18.0万/年	0.8万/年	0.2万/年	
16	¥195,000	¥190,000	19.5万/年	19.0万/年	0.8万/年	0.2万/年	
17	¥210,000	¥200,000	21.0万/年	20.0万/年	0.9万/年	0.2万/年	
18	¥230,000	¥220,000	23.0万/年	22.0万/年	0.9万/年	0.2万/年	
19	¥250,000	¥240,000	25.0万/年	24.0万/年	1.0万/年	0.2万/年	
20	¥270,000	¥260,000	27.0万/年	26.0万/年	1.1万/年	0.3万/年	
21	¥290,000	¥280,000	29.0万/年	28.0万/年	1.2万/年	0.3万/年	
22	¥310,000	¥300,000	31.0万/年	30.0万/年	1.3万/年	0.3万/年	
23	¥330,000	¥320,000	33.0万/年	32.0万/年	1.4万/年	0.3万/年	
24	¥350,000	¥340,000	35.0万/年	34.0万/年	1.4万/年	0.3万/年	
25	¥370,000	¥360,000	37.0万/年	36.0万/年	1.5万/年	0.4万/年	
26	¥395,000	¥380,000	39.5万/年	38.0万/年	1.6万/年	0.4万/年	
27	¥425,000	¥410,000	42.5万/年	41.0万/年	1.7万/年	0.4万/年	
28	¥455,000	¥440,000	45.5万/年	44.0万/年	1.9万/年	0.4万/年	
29	¥485,000	¥470,000	48.5万/年	47.0万/年	2.0万/年	0.5万/年	
30	¥515,000	¥500,000	51.5万/年	50.0万/年	2.1万/年	0.5万/年	
31	¥545,000	¥530,000	54.5万/年	53.0万/年	2.3万/年	0.5万/年	
32	¥575,000	¥560,000	57.5万/年	56.0万/年	2.4万/年	0.6万/年	
33	¥605,000	¥590,000	60.5万/年	59.0万/年	2.5万/年	0.6万/年	
34	¥635,000	¥620,000	63.5万/年	62.0万/年	2.6万/年	0.6万/年	
35	¥665,000	¥650,000	66.5万/年	65.0万/年	2.8万/年	0.7万/年	
36	¥695,000	¥680,000	69.5万/年	68.0万/年	2.9万/年	0.7万/年	
37	¥730,000	¥710,000	73.0万/年	71.0万/年	3.0万/年	0.7万/年	
38	¥770,000	¥750,000	77.0万/年	75.0万/年	3.2万/年	0.8万/年	
39	¥810,000	¥790,000	81.0万/年	79.0万/年	3.4万/年	0.8万/年	
40	¥855,000	¥830,000	85.5万/年	83.0万/年	3.5万/年	0.8万/年	
41	¥905,000	¥880,000	90.5万/年	88.0万/年	3.7万/年	0.9万/年	
42	¥955,000	¥930,000	95.5万/年	93.0万/年	4.0万/年	0.9万/年	
43	¥1,005,000	¥980,000	100.5万/年	98.0万/年	4.2万/年	1.0万/年	
44	¥1,055,000	¥1,030,000	105.5万/年	103.0万/年	4.4万/年	1.0万/年	
45	¥1,115,000	¥1,090,000	111.5万/年	109.0万/年	4.6万/年	1.1万/年	
46	¥1,175,000	¥1,150,000	117.5万/年	115.0万/年	4.9万/年	1.2万/年	
47	¥1,235,000	¥1,210,000	123.5万/年	121.0万/年	5.1万/年	1.2万/年	
48	¥1,295,000	¥1,270,000	129.5万/年	127.0万/年	5.4万/年	1.3万/年	
49	¥1,355,000	¥1,330,000	135.5万/年	133.0万/年	5.7万/年	1.3万/年	
50	¥9,999,999,999	¥1,390,000	1000000.0万/年	139.0万/年	5.9万/年	1.4万/年	
