等級	報酬月額上限	標準報酬月額
-	0.0万/月	8.8万/月
1	9.3万/月	9.8万/月
2	10.1万/月	10.4万/月
3	10.7万/月	11.0万/月
4	11.4万/月	11.8万/月
5	12.2万/月	12.6万/月
6	13.0万/月	13.4万/月
7	13.8万/月	14.2万/月
8	14.6万/月	15.0万/月
9	15.5万/月	16.0万/月
10	16.5万/月	17.0万/月
11	17.5万/月	18.0万/月
12	18.5万/月	19.0万/月
13	19.5万/月	20.0万/月
14	21.0万/月	22.0万/月
15	23.0万/月	24.0万/月
16	25.0万/月	26.0万/月
17	27.0万/月	28.0万/月
18	29.0万/月	30.0万/月
19	31.0万/月	32.0万/月
20	33.0万/月	34.0万/月
21	35.0万/月	36.0万/月
22	37.0万/月	38.0万/月
23	39.5万/月	41.0万/月
24	42.5万/月	44.0万/月
25	45.5万/月	47.0万/月
26	48.5万/月	50.0万/月
27	51.5万/月	53.0万/月
28	54.5万/月	56.0万/月
29	57.5万/月	59.0万/月
30	60.5万/月	62.0万/月
31	63.5万/月	65.0万/月
